population,frames,graphRmseM,graphP95M,graphMaxM,above30cm,baselineRmseM
all,1169,0.109861540513397,0.216289432076396,0.640312423976002,1,0.082155614863831
after_2_seconds,1148,0.108834534627192,0.216330192352978,0.272606957818235,0,0.0787541991446304
