population,frames,graphRmseM,graphP95M,graphMaxM,above30cm,baselineRmseM
all,1169,0.112086543836824,0.218074937708749,0.640312423976002,8,0.082155614863831
after_2_seconds,1148,0.111125959709726,0.21807849497486,0.321743108059587,7,0.0787541991446304
