frame,fusionErrorM,matchingErrorM,baselineMatchingErrorM,accepted,seconds
1,0.640312423976002,0.640312423976002,0.640312423976002,0,0.014774
2,0.431858024452917,0.0922452232220265,0.0922446890068914,1,0.031771
3,0.285858730061493,0.0926791348155252,0.0926809957014265,1,0.024845
4,0.19012598889194,0.0925579936264615,0.0925595715818323,1,0.026786
5,0.130110072420256,0.0949189453096858,0.0949203832304581,1,0.028343
6,0.0965774715123804,0.102656868394848,0.102656868394848,1,0.027837
7,0.0796188714407418,0.108766943699033,0.108766943699033,1,0.024523
8,0.0708805775470513,0.104867952067618,0.104867952067618,1,0.025111
9,0.0666240018832616,0.105524989967209,0.105524989967209,1,0.027738
10,0.0590141521354551,0.0687793284601176,0.0687793284601176,1,0.028158
11,0.0501905341173032,0.050105670855655,0.050105670855655,1,0.02665
12,0.0409501348382895,0.0334269525795735,0.0334269525795735,1,0.032627
13,0.0356316033565771,0.0562805101113081,0.0562805101113081,1,0.032015
14,0.0296749279655907,0.0385306417637793,0.0385306417637793,1,0.035696
15,0.0264763057152455,0.0443128165011186,0.0443128165011186,1,0.035986
16,0.0251044755499111,0.0450012654921097,0.0450012654921097,1,0.036061
17,0.0257047133658017,0.051328879321051,0.051328879321051,1,0.034872
18,0.0232959693697669,0.0154269733350603,0.0154269733350603,1,0.0301
19,0.0215385540535986,0.00434036936481534,0.00434036936481534,1,0.035789
20,0.0204436121498964,0.00835183502425626,0.00835183502425626,1,0.034874
21,0.0199191900411174,0.0071533509342999,0.0071533509342999,1,0.030008
22,0.0194866134876087,0.0131660139067878,0.0131660139067878,1,0.034722
23,0.0201949074654377,0.0306863616735741,0.0306863616735741,1,0.034235
24,0.0206397391513021,0.0259744976477429,0.0259744976477429,1,0.034634
25,0.0211009010759653,0.0263897102750504,0.0263897102750504,1,0.031622
26,0.0226635533430278,0.0187239742412675,0.0187239742412675,1,0.037412
27,0.0212003298144667,0.0388120720326988,0.0388120720326988,1,0.037261
