frame,source,globalTarget,class,squaredResidual,graphInfluence,sourceWeight
2,41,1177,trafficSign,1.00108146986925,1,0.00692872460628749
2,42,1176,trafficSign,0.338607479447288,1,0.0187663374349193
2,43,1145,trafficSign,0.879800642992538,1,0.0119832498490485
2,44,1145,trafficSign,3.54668730169079,1,0.00708742920718603
2,45,1153,trafficSign,2.69033586706725,1,0.0105850161461373
2,46,1153,trafficSign,0.11305911429275,1,0.0215231107640936
2,47,1154,trafficSign,0.0608650803548168,1,0.0207937184821181
2,48,1159,trafficSign,0.363407166300177,1,0.0184756963674189
2,49,1152,trafficSign,0.60792279229681,1,0.0102697386351828
2,50,1156,trafficSign,0.403167245807681,1,0.00692031184094135
3,41,1180,trafficSign,3.30160519272101,1,0.00600649520003196
3,42,1179,trafficSign,0.574831277246309,1,0.00597645909430752
3,43,1177,trafficSign,0.515136750753351,1,0.00914002162181217
3,44,1176,trafficSign,0.108790415783972,1,0.0243385400702923
3,45,1145,trafficSign,0.107147942378413,1,0.0164063957807182
3,46,1145,trafficSign,2.97685644646055,1,0.0099885979111692
3,47,1153,trafficSign,2.1970753489225,1,0.0171940736235663
3,48,1153,trafficSign,0.106302179005298,1,0.0287375320011312
3,49,1154,trafficSign,0.0173790473566208,1,0.027619631786788
3,50,1159,trafficSign,0.183681864155566,1,0.0238009574583257
3,51,1152,trafficSign,0.363893949608665,1,0.0159372319951943
3,52,1156,trafficSign,0.197216348405396,1,0.00886258630949338
4,41,1180,trafficSign,2.83284836815158,1,0.00691937968582649
4,42,1179,trafficSign,0.469289743728176,1,0.0115277657546505
4,43,1177,trafficSign,0.338643804339039,1,0.0125019479788475
4,44,1176,trafficSign,0.131079409451182,1,0.0349603184456067
4,45,1145,trafficSign,0.137626130933225,1,0.0191499273208114
4,46,1145,trafficSign,1.49621163250404,1,0.00508140187594234
4,47,1153,trafficSign,2.76994784746355,1,0.0241526011353917
4,48,1153,trafficSign,0.0929225566836104,1,0.0409564968970304
4,49,1154,trafficSign,0.0140787691095669,1,0.0395082140515347
4,50,1159,trafficSign,0.102251680749408,1,0.0334665536693699
4,51,1152,trafficSign,0.414408177197953,1,0.0192967120732035
4,52,1156,trafficSign,0.177701183496573,1,0.0129962992982927
5,42,1180,trafficSign,1.61011691108227,1,0.00554360295186032
5,43,1179,trafficSign,0.337624401578238,1,0.0168981397129561
5,44,1177,trafficSign,0.433705891005959,1,0.0149207560393153
5,45,1176,trafficSign,0.144654237359207,1,0.0428078991686354
5,46,1145,trafficSign,0.0658865358201558,1,0.0279057462593429
5,47,1145,trafficSign,1.56618017159842,1,0.00634172090969659
5,48,1153,trafficSign,2.22006049297076,1,0.0328661594696229
5,49,1153,trafficSign,0.0742331351163441,1,0.0498624482133954
5,50,1154,trafficSign,0.0245694247448321,1,0.0486664323454453
5,51,1159,trafficSign,0.216592969808653,1,0.0408781154415997
5,52,1152,trafficSign,0.279657899182069,1,0.0243002257422385
5,53,1156,trafficSign,0.170000483635878,1,0.0167316514130208
6,36,1180,trafficSign,1.35819574970356,1,0.00532676247572011
6,37,1179,trafficSign,0.250391488231322,1,0.0195689580694681
6,38,1177,trafficSign,0.324566935787639,1,0.015017883981472
6,39,1176,trafficSign,0.114840131639151,1,0.0427909943501202
6,40,1164,trafficSign,0.636156711559352,1,0.00508736868599838
6,41,1145,trafficSign,0.0809111309139063,1,0.0219083853771362
6,42,1145,trafficSign,2.31861937559329,1,0.0169955017157192
6,43,1153,trafficSign,2.9462414911255,1,0.0264705234612497
6,44,1153,trafficSign,0.079370673850795,1,0.0482488133096801
6,45,1154,trafficSign,0.0378753866756514,1,0.0466137626506139
6,46,1159,trafficSign,0.13473066721544,1,0.0411153150302101
6,47,1152,trafficSign,0.4112140797974,1,0.0200512177264918
6,48,1156,trafficSign,0.246504476889757,1,0.015175102851526
7,41,1180,trafficSign,1.1967935911793,1,0.00636223408627766
7,42,1179,trafficSign,0.115611914686098,1,0.0159435102582553
7,43,1177,trafficSign,0.299615386887381,1,0.0124179737653448
7,44,1176,trafficSign,0.117552876615804,1,0.0421528099162349
7,45,1174,trafficSign,0.144366932315164,1,0.0120183007934211
7,46,1145,trafficSign,0.00481799926166017,1,0.0256981497134532
7,47,1153,trafficSign,0.0684130964122011,1,0.0475726710953285
7,48,1154,trafficSign,0.0688744546168485,1,0.0453569456274772
7,49,1161,trafficSign,1.68438355327931,1,0.00726643576187363
7,50,1159,trafficSign,0.129343073668595,1,0.0397601414614341
7,51,1143,trafficSign,0.127912215445373,1,0.00481837948553892
7,52,1152,trafficSign,0.320480834169254,1,0.0221648596611161
7,53,1156,trafficSign,0.0787988292254347,1,0.0156462476463274
8,41,1180,trafficSign,1.24264493674259,1,0.00686106144864691
8,42,1179,trafficSign,0.206219600517155,1,0.020796940659037
8,43,1177,trafficSign,0.325780829386214,1,0.0143222575526923
8,44,1176,trafficSign,0.145274907556915,1,0.0434885566049449
8,45,1176,trafficSign,0.937447677840482,1,0.0172289607620122
8,46,1145,trafficSign,0.00852482468608278,1,0.025388474487567
8,47,1145,trafficSign,2.20871397149549,1,0.00972597600707192
8,48,1153,trafficSign,2.71167488779026,1,0.0213590141352661
8,49,1153,trafficSign,0.0834779206879971,1,0.0495832526198613
8,50,1154,trafficSign,0.0247443577884342,1,0.0479173908094001
8,51,1159,trafficSign,0.128689963681992,1,0.0410078977926454
8,52,1156,trafficSign,0.0836617512275569,1,0.0163963290772622
9,39,1180,trafficSign,1.11902635254383,1,0.0066954623528998
