frame,source,globalTarget,class,squaredResidual,graphInfluence,sourceWeight
2,41,1177,trafficSign,1.18813679427536,0.706043911583079,0.00692872460628749
2,42,1176,trafficSign,0.43551445638194,0.873957613763089,0.0187663374349193
2,43,1145,trafficSign,1.34999181944444,0.676291275848646,0.0119832498490485
2,44,1145,trafficSign,4.35319293980876,0.347445512269144,0.00708742920718603
2,45,1153,trafficSign,2.56984246528548,0.502155678885889,0.0105850161461373
2,46,1153,trafficSign,0.104424153601697,0.967403454847726,0.0215231107640936
2,47,1154,trafficSign,0.0902473985840766,0.971734508148226,0.0207937184821181
2,48,1159,trafficSign,0.492763167053635,0.859180126955325,0.0184756963674189
2,49,1152,trafficSign,0.83364052953432,0.778479187804712,0.0102697386351828
2,50,1156,trafficSign,0.514871377713146,0.853573546844524,0.00692031184094135
3,41,1180,trafficSign,3.95547182972504,0.375054048826625,0.00600649520003196
3,42,1179,trafficSign,0.739018574059169,0.799701011566316,0.00597645909430752
3,43,1177,trafficSign,0.595207135236114,0.833655934183244,0.00914002162181217
3,44,1176,trafficSign,0.139718056882153,0.956745974433306,0.0243385400702923
3,45,1145,trafficSign,0.225419986818213,0.931588571058061,0.0164063957807182
3,46,1145,trafficSign,3.52588482802974,0.408740697664892,0.0099885979111692
3,47,1153,trafficSign,2.13192850038989,0.555996593715133,0.0171940736235663
3,48,1153,trafficSign,0.0992003840831557,0.968995961380934,0.0287375320011312
3,49,1154,trafficSign,0.025402463678983,0.991920502317111,0.027619631786788
3,50,1159,trafficSign,0.236573418811171,0.928387658609335,0.0238009574583257
3,51,1152,trafficSign,0.366249816453949,0.892352089243673,0.0159372319951943
3,52,1156,trafficSign,0.245102299502188,0.925951081484536,0.00886258630949338
4,41,1180,trafficSign,3.1536476188061,0.441740625351207,0.00691937968582649
4,42,1179,trafficSign,0.531681350159537,0.849347230696889,0.0115277657546505
4,43,1177,trafficSign,0.37266299053816,0.890624675842579,0.0125019479788475
4,44,1176,trafficSign,0.147767530380614,0.954339992484241,0.0349603184456067
4,45,1145,trafficSign,0.201439130394686,0.938527119878673,0.0191499273208114
4,46,1145,trafficSign,1.65693426053561,0.624803967500959,0.00508140187594234
4,47,1153,trafficSign,2.73625137580378,0.483729873178028,0.0241526011353917
4,48,1153,trafficSign,0.090283062383419,0.971723576255532,0.0409564968970304
4,49,1154,trafficSign,0.0161056874459651,0.994866033184878,0.0395082140515347
4,50,1159,trafficSign,0.122775467988029,0.961839924890705,0.0334665536693699
