frame,before,errors,matchingError,valid,seconds
1,0.640312423976002,0.640312423976002,0.640312423976002,0,0.014952
2,0.431858042352315,0.105245900880679,0.0922522003037669,1,0.042328
3,0.285858984995519,0.090808940956956,0.0926788921068816,1,0.017715
4,0.190126509444424,0.0825130090707786,0.0925610291274455,1,0.018413
5,0.130110765478865,0.0784956938137134,0.0949203481254925,1,0.02008
6,0.0965778945867509,0.0766076456430219,0.102654036792453,1,0.022197
7,0.0796191142878844,0.0757518261661696,0.108765697177407,1,0.025377
8,0.0708807121023797,0.0739903433685938,0.104866654705566,1,0.023831
9,0.0666240750851118,0.0722884829532653,0.105523952138355,1,0.025344
10,0.0590141967373123,0.0693655500129228,0.0972465243726761,1,0.028304
11,0.0501905617097636,0.0650694248655959,0.071828272338868,1,0.032425
12,0.040950151190724,0.0620815637818309,0.0545965901103787,1,0.031052
13,0.0356316106556458,0.0574265917736069,0.056280508480019,1,0.031351
14,0.0296749324674631,0.0547589257315651,0.0385305898975098,1,0.032074
15,0.0264763076983851,0.0564549415133267,0.0443116599675608,1,0.03162
16,0.0251044765799955,0.0587659982143581,0.0450012779003531,1,0.040899
17,0.0257047144188157,0.0604975410628377,0.0513284339649394,1,0.030196
18,0.0232959709279002,0.0618927129968023,0.0154269294702043,1,0.034718
19,0.0215385552522592,0.0626168398194368,0.0043430489525945,1,0.042751
20,0.0204436127714996,0.0639048012085716,0.00835197003160323,1,0.051954
21,0.0199191900411174,0.0636139693392908,0.00715353959616533,1,0.031016
22,0.0194866134876087,0.0643551905139796,0.0131683617596564,1,0.035741
23,0.0201949083794184,0.0646377295571472,0.030686433816992,1,0.03863
24,0.020639740960253,0.0648983476453509,0.025974548740629,1,0.031518
25,0.0211009020517035,0.0647755113625805,0.0263897054379199,1,0.031959
26,0.0226635543001576,0.065199158975343,0.0187239740677916,1,0.031428
27,0.0212003298785029,0.064660849531335,0.0388120746109735,1,0.036019
28,0.0191386127608368,0.0668135064643508,0.0313870605436974,1,0.035745
29,0.0206310346676702,0.0684774828389838,0.0413005370471691,1,0.035141
30,0.0261832951612914,0.0714082922900132,0.0563219056035502,1,0.034317
31,0.029921504148864,0.0730858161924166,0.0589490762033281,1,0.029349
32,0.0327414529542705,0.0730558659918565,0.0484030204855157,1,0.029501
33,0.0343682874950087,0.0708715939770629,0.0584038854786466,1,0.033576
34,0.0344958449445294,0.0695096534949508,0.0597973464260399,1,0.033261
35,0.0339376027822155,0.0699186284629776,0.0577109444353473,1,0.032954
36,0.0359815718314186,0.0718811132021089,0.0600816373211846,1,0.028937
37,0.0360876396753833,0.0730089525124241,0.0621891992018546,1,0.028609
38,0.0361167299435938,0.0735159018239011,0.0597085268534714,1,0.026484
39,0.0345610541079472,0.0743863782539147,0.0564594975304809,1,0.03367
40,0.0321169959076965,0.0764093122990883,0.0555852326411771,1,0.036228
41,0.0342584802190221,0.0782812898112831,0.0303477173213099,1,0.026894
42,0.0383784221536039,0.080337592270232,0.0519295663279702,1,0.028002
43,0.0403265287957908,0.0821716737491907,0.0394117312132782,1,0.028155
44,0.0431364415778318,0.0837073566808942,0.0449652613766445,1,0.03257
45,0.0452669964983195,0.0849530222753032,0.0468716329054563,1,0.031193
46,0.0438402051129937,0.0854979486650408,0.0491862282926174,1,0.032254
47,0.0427980859234229,0.086212172407426,0.0300563543623737,1,0.033386
48,0.0413529083648057,0.0861449655271828,0.0407179552706363,1,0.029765
49,0.0396504496680696,0.0853366672059109,0.0413225694978249,1,0.028749
50,0.0382331572883421,0.0834552547049185,0.0272297204066692,1,0.028333
51,0.0379803632567708,0.082943040386449,0.0263609632764803,1,0.02887
