frame,time,rawErrorM,observerErrorM,lidarComponentX,lidarComponentY,motionComponentX,motionComponentY,speedMps,yawRateRadps
1,0,0.0337137860518338,0.0337137860518338,-0.03319939825451,-0.00586679857224226,0,0,0,-0.00128234505357058
2,0.0997280321308394,0.0353120219354178,0.0330825622300548,-0.0333307654696079,-0.00654854968251732,0.000699817839464324,0.00109749970817417,0,8.36405691315751e-05
3,0.200055029412049,0.0232019218024143,0.0290549026811028,-0.0311343129379624,-0.00785802374052888,0.00240597035676063,0.00350917961356618,0,9.40580650760033e-05
4,0.29948941975579,0.0287917227354333,0.0247630763440444,-0.0290654886009392,-0.00696170726730419,0.00431339196423772,0.00621019491609058,0,-0.00124618896065992
5,0.399468399201244,0.0212878006620868,0.0216986560618212,-0.027654552653246,-0.00471311346974183,0.00631219177400048,0.00862984172970544,0,0.000117654946429416
6,0.498995598211926,0.0375844239693197,0.0206323635455692,-0.0282654340859808,-0.00465306977277261,0.00845821567568263,0.0104307668807696,0,-0.00127826436901842
7,0.573137447104761,0.0341220726610511,0.0211757856634667,-0.0300448404029236,-0.00503539315424775,0.00990633052207453,0.0115828259661135,0,-0.000957718843963663
8,0.696142957447247,0.0332286991959731,0.022038670888336,-0.0314013511982413,-0.00321517431293547,0.0122321930111126,0.0140893669528512,0,-0.00120335106537837
9,0.799457519021782,0.0388666400663115,0.0199033695703301,-0.0314512219794678,-0.00612398021603591,0.0142556740786812,0.0161468276038405,0,-0.00123445893818885
10,0.899975222801402,0.0364752981806339,0.0184594575478546,-0.0321305115237321,-0.00891148374826553,0.0164981754910931,0.0187296710492751,0,-0.00128234505357058
11,1.00110482045967,0.0239621746894621,0.0203852910186963,-0.0312683940727773,-0.00594098863486146,0.019223404820746,0.0223876519208538,0,4.20221280509752e-05
12,1.09932419466826,0.0391428553063473,0.0292244910799472,-0.0296036448032472,0.00133030022557851,0.0217902557084215,0.0268302984264076,0,0.000117654946429416
13,1.19983919676857,0.0363175880723166,0.0432988845397558,-0.0271437341456179,0.0106886139393148,0.0251099702399033,0.032562470818775,0,-0.00128234505357058
14,1.30017356364201,0.0363148057372846,0.0567734182210334,-0.0243210933727909,0.0173724326098378,0.0295142103909977,0.0391629630277105,0,0.000112897475329474
15,1.40011269091914,0.0354241826489892,0.0693495570034284,-0.0201636992455439,0.0223753653896919,0.0340413328762318,0.045568459854228,0.169444441795349,0.00150972581408577
16,1.50078602588373,0.0135598344337945,0.0745440770642556,-0.0156902392183928,0.0221463977496587,0.0369430563730375,0.0493006808638624,0.263954627223582,8.13942456287586e-05
17,1.57550130184887,0.0245060333672649,0.0720558742723456,-0.0160394670963081,0.017786750541751,0.0383617191517059,0.0507217900462831,0.311111122369766,0.00163088163940305
18,1.6562955910604,0.0910699591455378,0.0605738899885926,-0.0273365080540362,0.0084664182405125,0.0390144430029863,0.0509687573137102,0.386676850688982,0.00169359016896534
19,1.79961705519055,0.0353026974279887,0.0562588423732419,-0.0348502091909461,0.00647032009224263,0.0389211353614754,0.0496399283207942,0.465622569269411,0.00291765494642941
20,1.89930048736994,0.0291457181168995,0.0576440824890097,-0.0300131640055573,0.00882971149517258,0.0387867087437844,0.0481425206385048,0.513888895511627,0.00442536677620407
21,1.99968711610252,0.0165218358477237,0.0548624839104487,-0.0269921907550013,0.00696613290521168,0.038966171946903,0.0465732319283463,0.591190631339379,0.00571765494642942
22,2.0993715732165,0.0208994936578251,0.0540281947164037,-0.0239052445720602,0.00633665958911083,0.0393192097918269,0.0454455769822865,0.652777791023254,0.00716570639620632
23,2.20012039330358,0.0470470141305839,0.0513904566533071,-0.0276106581447012,0.00520261907303197,0.0401831188148037,0.0446256250043347,0.733336483958135,0.00993454601714745
24,2.29986916745338,0.0447514590770797,0.0541662278710883,-0.0314909585349889,0.00952517334514365,0.0417018202947413,0.0436688098806437,0.841462744158477,0.0126986506830583
25,2.39972255726752,0.0341671069732826,0.0622939770766385,-0.0262512941326904,0.0169558257050668,0.0431371870567357,0.0430043459538084,0.935686759079503,0.0127585710872986
26,2.4994592110607,0.0287429193578052,0.0692980342034039,-0.0176518802033158,0.0214356446006567,0.0460343549670699,0.0417807714565751,1.04294719191157,0.0210813489833319
27,2.56184643673581,0.0589546569562897,0.06486398120332,-0.0199166782434469,0.0172687105195486,0.0484238134970769,0.0409913054845822,1.1717145351424,0.00933893340464212
28,2.69885396896601,0.058767055655131,0.0648353673935954,-0.0166073827997436,0.0176102202153504,0.045216255826478,0.0405739354845554,1.23055553436279,0.00574722609566152
29,2.80011353742193,0.0339317838997014,0.072414629116099,-0.0098558420342171,0.02553651709011,0.044583300646359,0.0380118848643632,1.26392146183424,0.0253374263702981
30,2.89948580766684,0.0438880982192456,0.0755222414667873,-0.0051004503025495,0.0285409561072362,0.0468961144715034,0.0343629267770798,1.35753547959504,0.0198348392630838
31,2.99981134175746,0.0355392620061658,0.0688791085277556,-0.00637385862696955,0.0238309448469976,0.0464222085099783,0.0322086699762111,1.4355850174193,0.0071303066920584
32,3.09880168968852,0.0233259303076511,0.0595512249183468,-0.011329030626792,0.018790107187091,0.0461933312915851,0.0294882332133347,1.51201631955478,0.0167556500342524
33,3.19947749985262,0.0650591866171787,0.0678473491547937,0.000664088013072879,0.0220829948236353,0.0465453092459348,0.026647890805375,1.54444444179535,0.0225176549464294
34,3.2991270764897,0.00570806109165068,0.0719008177970756,0.00904059348433933,0.0210866012547543,0.0450469325007936,0.026290020994136,1.57500004768372,0.0197775297472191
35,3.39941332159383,0.0463572127961212,0.0743349163716031,0.01279027274325,0.0196618958396365,0.0450813916535723,0.0269920057031429,1.62131086527828,0.015579470121139
36,3.49925731930265,0.0272944828005302,0.0790831907104556,0.0188370692185327,0.0187205029269908,0.0450780544467697,0.0278505865842921,1.6990128561677,0.0114640060925738
37,3.57496931674465,0.0429564849563202,0.0708750051043633,0.0164639830347097,0.00891285299779134,0.0435555320225507,0.0287811844158965,1.74722230434418,0.0103420852949934
38,3.69884567065947,0.0229097822434382,0.0551903758734842,0.0106647275772862,-0.00699261783383613,0.0396831313062576,0.0296002140075998,1.8082314009778,0.0166832277784087
39,3.80007112265231,0.0789756204095323,0.0636327206762094,0.0214724915167338,-0.00351135549755734,0.0361905345211406,0.03042192028534,1.84166669845581,0.00996944769500548
40,3.89909164377957,0.0823263247248396,0.0813342436598493,0.0390684214186791,0.00690866063611149,0.0328960663937507,0.0309916307456537,1.87336677927946,0.00582770358450501
41,4.00030373366125,0.0180716145482754,0.0763287766562988,0.0363105051660217,0.00648424674392242,0.029763067051525,0.0317319727353252,1.88891139648444,0.00149836643978552
42,4.10019901579618,0.0281335823159136,0.0643601070288989,0.0273517489094525,0.00419572405508569,0.0255908713605778,0.032403670838083,1.91945590399454,-0.00128234505357058
43,4.20008339411891,0.00665200650585736,0.0585084883014435,0.0233424920461181,0.00497699704724029,0.0209757598630889,0.0332252080654351,1.93333339691162,0.000111730235072553
44,4.30009432929507,0.0317309169224161,0.0548977540515072,0.0211149021840551,0.00692308460717663,0.0162305942570771,0.0333171349800286,1.95277786254883,-0.00268882412985724
45,4.39958081135465,0.0715417037636615,0.0630770846002984,0.0281431569290168,0.0150028789361116,0.0135198463386495,0.0323586293921768,1.95277786254883,-0.00133403118965233
46,4.49928770825362,0.0145339459046171,0.0597112656750019,0.0268064000130307,0.014203124745602,0.0126607588318831,0.0306074187304752,1.91944444179535,-0.00263571681492035
47,4.56832308931311,0.0290868875064769,0.0465833863989251,0.0177101740559808,0.00615903804669844,0.0112828925409442,0.0303033054423588,1.91944444179535,-0.0110823450535706
48,4.69413083324844,0.0284202805641682,0.0391659296339938,0.0060234313677382,0.00513097852684679,0.00686218527661468,0.0318561143724462,1.875,-0.00947133878197212
49,4.80012465615379,0.00605526125501899,0.0399605950914653,0.00319995150914099,0.00683695488784905,0.00385230088239945,0.0324970937752035,1.85555565357208,-0.00408857719049127
50,4.90081085282113,0.0209817579141927,0.0346626588443291,-0.000806235465073841,0.00288226572264812,0.00225727608555192,0.031751399235023,1.81111121177673,-0.00402853052056856
