component,population,samples,rmseM,medianM,p95M,maximumM,fractionAtMost5cm,fractionAtMost10cm,meanForwardErrorM,meanLeftErrorM
lidar_position_channel,native_full,1084,0.0862530674926698,0.0574020220685732,0.171209092762792,0.291826403006016,0.409594095940959,0.767527675276753,-0.0035803300107432,-0.0194389598763717
lidar_position_channel,uniform_all,11690,0.0954901953096768,0.0606137612689431,0.191905894949229,0.361365655558146,0.389050470487596,0.738751069289991,-0.00169301868173523,-0.0212472056120806
motion_state_channel,native_full,1084,0.0665570763916928,0.0609354048817597,0.102181116419343,0.140173878860396,0.35239852398524,0.94280442804428,0.0104481267453753,-0.0456995518458868
motion_state_channel,uniform_all,11690,0.0682137679324385,0.0628997454160428,0.103789085196949,0.23302010634586,0.333789563729683,0.930282292557742,0.0113126720171329,-0.0404758531257691
component_sum,native_full,1084,0.117369269144381,0.0963445297509061,0.206696358856551,0.329049912576838,0.123616236162362,0.535055350553506,0.00686779674368732,-0.0651385117173038
component_sum,uniform_all,11690,0.122594881587027,0.0987878012087488,0.22627864516283,0.334050604756471,0.120188195038494,0.511291702309666,0.00961965333285798,-0.0617230587391304
