rawErrorLowerM,rawErrorUpperM,frames,rawMedianM,observerMedianM,fractionWorse,rawSquaredErrorSum,observerSquaredErrorSum
0,0.05,274,0.0329595705522647,0.0739870400897672,0.883211678832117,0.313083224685145,1.8788605241009
0.05,0.1,394,0.0708797942707681,0.0945961664210758,0.746192893401015,2.15215200090728,4.22817077172788
0.1,0.2,274,0.136725154335907,0.117051994920274,0.343065693430657,5.72215735739898,5.10724485006977
0.2,Inf,142,0.294847290326556,0.134224753835372,0.0352112676056338,15.7605325214895,3.71842912693565
