mode,reference,fullAcceptedSamples,subset,subsetSamples,sampleFraction,squaredErrorShare,fullRmseM,fullMedianM
per_frame_zero,pvaErrorM,1092,at_least_1m,22,0.020146520146520148,0.6105309911711257,0.22701065062108747,0.0767680238771195
per_frame_zero,pvaErrorM,1092,largest_ceil_5percent,55,0.05036630036630037,0.7460946024226016,0.22701065062108747,0.0767680238771195
per_frame_zero,pvaErrorM,1092,previously_identified_30_mapping_frames,24,0.02197802197802198,0.6169214918018789,0.22701065062108747,0.0767680238771195
per_frame_zero,mappingErrorM,1092,at_least_1m,0,0.0,0.0,0.13846442384472757,0.0720241557424885
per_frame_zero,mappingErrorM,1092,largest_ceil_5percent,55,0.05036630036630037,0.4887605005978047,0.13846442384472757,0.0720241557424885
per_frame_zero,mappingErrorM,1092,previously_identified_30_mapping_frames,24,0.02197802197802198,0.012965482289856185,0.13846442384472757,0.0720241557424885
per_frame_positive,pvaErrorM,1074,at_least_1m,18,0.01675977653631285,0.46507189061594817,0.23529674146280022,0.0971287573479377
per_frame_positive,pvaErrorM,1074,largest_ceil_5percent,54,0.05027932960893855,0.6385194633660505,0.23529674146280022,0.0971287573479377
per_frame_positive,pvaErrorM,1074,previously_identified_30_mapping_frames,23,0.021415270018621976,0.47312245122633556,0.23529674146280022,0.0971287573479377
per_frame_positive,mappingErrorM,1074,at_least_1m,3,0.002793296089385475,0.10919435920264497,0.1799802289004677,0.09300390800553755
per_frame_positive,mappingErrorM,1074,largest_ceil_5percent,54,0.05027932960893855,0.4851240830718812,0.1799802289004677,0.09300390800553755
per_frame_positive,mappingErrorM,1074,previously_identified_30_mapping_frames,23,0.021415270018621976,0.11613041030320415,0.1799802289004677,0.09300390800553755
