mode,population,reference,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg,fullPoseCount,directionalPoseCount
per_frame_positive,all_outputs,recorded_mapping_pose,1170,0.251745965008124,0.100259489655786,0.640312423976002,1.21667460842478,0.194871794871795,0.497435897435897,0.763222930925527,1074,0
per_frame_positive,all_outputs,INSPVA,1170,0.314265580794801,0.10893351847829,0.656212337244861,1.77036429615914,0.183760683760684,0.471794871794872,0.763222930925527,1074,0
per_frame_positive,full_measurements,recorded_mapping_pose,1074,0.179980228900468,0.0930039080055376,0.383641340517855,1.21667460842478,0.212290502793296,0.541899441340782,0.526341341794359,1074,0
per_frame_positive,full_measurements,INSPVA,1074,0.2352967414628,0.0971287573479377,0.425119910845362,1.3599344578779,0.200186219739292,0.513966480446927,0.526341341794359,1074,0
per_frame_negative,all_outputs,recorded_mapping_pose,1170,0.269381899659511,0.10337703429576,0.640312423976002,1.2919021300641,0.207692307692308,0.483760683760684,0.760162234150777,1088,0
per_frame_negative,all_outputs,INSPVA,1170,0.306201920186603,0.111546787543243,0.634518520791101,1.35993421055817,0.196581196581197,0.460683760683761,0.760162234150777,1088,0
per_frame_negative,full_measurements,recorded_mapping_pose,1088,0.217106073239213,0.0969207074988749,0.460760837626451,1.2919021300641,0.223345588235294,0.520220588235294,0.565620875032121,1088,0
per_frame_negative,full_measurements,INSPVA,1088,0.259859373611008,0.100842549677337,0.481485398844773,1.35993421055817,0.211397058823529,0.495404411764706,0.565620875032121,1088,0
per_frame_zero,all_outputs,recorded_mapping_pose,1170,0.133782777106275,0.0679639116537913,0.273093860457119,0.814098561249415,0.347863247863248,0.678632478632479,0.374323381712416,1092,1
per_frame_zero,all_outputs,INSPVA,1170,0.235046009170204,0.0733911892398567,0.371495292362755,1.35993422089385,0.326495726495727,0.647863247863248,0.374323381712416,1092,1
per_frame_zero,full_measurements,recorded_mapping_pose,1092,0.138464423844728,0.0720241557424885,0.278788170321034,0.814098561249415,0.302197802197802,0.655677655677656,0.387452991388771,1092,1
per_frame_zero,full_measurements,INSPVA,1092,0.227010650621087,0.0767680238771195,0.36563054172913,1.35993422089385,0.287545787545788,0.628205128205128,0.387452991388771,1092,1
lidar_only_recursive,all_outputs,recorded_mapping_pose,1170,301.853003507049,97.2043086663228,727.270018161529,840.71131591444,0.0427350427350427,0.0777777777777778,47.1748433951359,162,220
lidar_only_recursive,all_outputs,INSPVA,1170,301.815340336411,97.1689744985451,727.254165019351,840.913563524001,0.0444444444444444,0.0794871794871795,47.1748433951359,162,220
lidar_only_recursive,full_measurements,recorded_mapping_pose,162,1.14436781286804,0.0783983021339242,0.355504679324551,14.4302050090148,0.308641975308642,0.561728395061728,0.756181779434123,162,220
lidar_only_recursive,full_measurements,INSPVA,162,1.1463927695638,0.0765077133302987,0.343111371324889,14.4554564672912,0.320987654320988,0.574074074074074,0.756181779434123,162,220
