method,samples,rmseMps,biasMps,p95Mps,maximumMps
legacy_twist,11690,0.0581863335044971,0.0298256432375083,0.114597164932121,0.282448335136992
wheel_fusion,11690,0.0747469089944043,0.0545027617576257,0.131271954768069,0.233372498930995
