population,method,samples,rmseMps,biasMps,p95Mps,maximumMps
all,legacy_twist,11690,0.05818633350449716,0.02982564323750834,0.11459716493212113,0.2824483351369916
all,wheel_fusion,11690,0.07474690899440431,0.05450276175762573,0.13127195476806897,0.23337249893099532
stationary_reference,legacy_twist,94,0.029049924243003677,-0.009229646734729275,0.08003414669830008,0.09961010798134476
stationary_reference,wheel_fusion,94,0.029049924243003677,-0.009229646734729275,0.08003414669830008,0.09961010798134476
moving_reference,legacy_twist,11596,0.0583631173070719,0.03014223492924603,0.11486769819642537,0.2824483351369916
moving_reference,wheel_fusion,11596,0.07500366629192504,0.05501939218176175,0.13149690812341158,0.23337249893099532
time_80_86,legacy_twist,600,0.04356411559543254,0.0328192864703031,0.07674493862545884,0.11026974187717187
time_80_86,wheel_fusion,600,0.05704320736757131,0.04367547542199572,0.12082656688370452,0.14626130359975598
