method,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,headingRmseDeg
legacy_twist,11690,0.117402731465409,0.0673950569958958,0.234138420152717,0.461107186772476,0.54683939813387
wheel_fusion,11690,0.118711118002594,0.0692693871573128,0.237246312489014,0.454714735100322,0.548023996511163
