frame,pillar,count,range,baseline,fine,current,coreFraction,coreHeight,isolation,coreCount,robustHeight,interquartileHeight,maximumGap,gapRatio,fineOwnCount,fineNearCount,fineHeight,fineGap,fineTilt,fineRadialStd
1,1594,32,33.3677433564619,1,0,0,0.40625,4.27246522903442,0.26,13,3.99563944339752,1.65083128213882,1.54148268699646,0.360794671076781,0,0,NaN,NaN,NaN,NaN
1,3746,17,7.65044901957401,0,0,1,0.941176470588235,3.77418839931488,0.646153846153846,126,3.04059245586395,1.66477751731873,0.302205681800842,0.0800717001450434,0,165,3.67211818695068,0.282262444496155,0.235256010215832,0.0637667235702195
1,3846,167,7.56236244485209,1,1,1,0.988023952095808,3.67211818695068,0.928205128205128,181,3.40281494259834,1.93409557640553,0.236843347549438,0.0627534512035573,165,165,3.67211818695068,0.282262444496155,0.235256010215832,0.0637667235702195
1,3868,65,12.526921431472,0,0,1,0.476923076923077,2.66703164577484,0.44578313253012,37,2.29320872426033,0.905870720744133,1.03852295875549,0.332077893147588,0,0,NaN,NaN,NaN,NaN
1,4403,33,28.6294710484729,1,0,1,0.454545454545455,6.71198031306267,0.365853658536585,15,5.61910712718964,1.67501948028803,4.3551983833313,0.648869361975829,0,0,NaN,NaN,NaN,NaN
1,5789,45,23.7055819877334,0,1,0,0.6,6.86362791061401,0.261682242990654,28,6.22232230305671,1.77358031272888,2.59618550539017,0.378252658681481,16,31,3.30296492576599,0.644123315811157,5.74036481383001,0.0975101793820134
1,5889,36,23.8427495873896,0,1,0,0.416666666666667,5.07259392738342,0.222222222222222,24,5.85179030895233,1.76314663887024,2.59441113471985,0.338258125065511,15,31,3.30296492576599,0.644123315811157,5.74036481383001,0.0975101793820134
1,6044,121,7.26117133044602,1,0,1,0.702479338842975,1.67421671748161,0.390728476821192,118,1.58742308616638,0.606181204319,0.254978477954865,0.152297175922606,0,0,NaN,NaN,NaN,NaN
1,6045,181,7.14576818827713,1,0,1,0.607734806629834,1.65853533148766,0.414790996784566,129,1.53226054012775,0.860136330127716,0.252639174461365,0.152326676233514,0,0,NaN,NaN,NaN,NaN
1,6866,21,14.5885113630888,1,0,1,0.761904761904762,2.37906843423843,0.465116279069767,20,2.45128580927849,1.5330907702446,0.527423560619354,0.209004515586447,0,0,NaN,NaN,NaN,NaN
1,6867,10,14.7734718667772,1,0,0,0.9,2.41124594211578,0.25,10,2.41124594211578,0.406741738319397,1.87393665313721,0.777165290527309,0,0,NaN,NaN,NaN,NaN
1,7873,42,21.968079371057,1,0,1,0.476190476190476,3.36872506141663,0.4375,21,2.51285572946072,1.10340248048306,0.968664407730103,0.287546294241881,0,0,NaN,NaN,NaN,NaN
1,8736,25,23.9754234267741,1,0,0,0.76,5.52549195289612,0.295774647887324,21,5.3932289659977,3.49295601248741,0.892840385437012,0.161585681971547,0,0,NaN,NaN,NaN,NaN
1,8737,41,23.8673598543294,1,0,0,0.51219512195122,3.68549859523773,0.307692307692308,24,3.60607820749283,1.7282532453537,0.418804049491882,0.106169235462667,0,0,NaN,NaN,NaN,NaN
1,9153,29,24.9881778419225,1,0,1,0.586206896551724,2.2774099111557,0.377777777777778,17,2.19340285658836,1.01159799098969,0.235561847686768,0.10343410140304,0,0,NaN,NaN,NaN,NaN
11,1292,23,33.4624115958461,1,0,0,0.347826086956522,2.12316560745239,0.195652173913043,9,2.12316560745239,1.35774731636047,0.317308306694031,0.149450568330735,0,0,NaN,NaN,NaN,NaN
11,1594,28,33.3714653580471,1,0,0,0.5,4.2905740737915,0.304347826086957,14,3.97993865013122,1.79344463348389,1.54165267944336,0.359311517043925,0,0,NaN,NaN,NaN,NaN
11,1996,22,32.8022522212951,0,0,1,0.5,3.57491779327393,0.428571428571429,12,3.4550731420517,1.49605333805084,1.18243002891541,0.330757264164257,0,0,NaN,NaN,NaN,NaN
11,3288,16,24.9000434153849,1,0,0,0.375,3.01759433746338,0.193548387096774,6,3.01759433746338,0.2361741065979,2.55525875091553,0.846786699985494,0,0,NaN,NaN,NaN,NaN
11,3746,27,7.64996086969731,0,1,1,0.962962962962963,3.42559862136841,0.829015544041451,160,3.10279053449631,1.80027633905411,0.200409173965454,0.0531144221228443,22,180,3.60434651374817,0.200409173965454,0.22238481898733,0.0693581465545189
11,3846,159,7.57723289046857,1,1,1,0.993710691823899,3.60094046592712,0.948186528497409,183,3.41082001924515,1.96834978461266,0.200409173965454,0.0531056404079909,158,180,3.60434651374817,0.200409173965454,0.22238481898733,0.0693581465545189
11,3868,60,12.5253130462228,1,0,1,0.616666666666667,2.65898895263672,0.378640776699029,39,2.06602494120598,0.813105061650276,1.03398370742798,0.319233875562415,0,0,NaN,NaN,NaN,NaN
11,4403,28,28.5822429590081,0,0,1,0.571428571428571,2.35042384266853,0.457142857142857,16,2.26803498268127,1.28947561979294,0.267354607582092,0.113747402799724,0,0,NaN,NaN,NaN,NaN
11,5789,47,23.7298689998288,0,1,0,0.574468085106383,7.18373340368271,0.233333333333333,28,5.78544210791588,1.78983581066132,1.5125440955162,0.210551256640566,15,32,3.3064968585968,0.650070190429688,4.61325511778683,0.120050838460047
11,5889,40,23.8727461597258,0,1,0,0.575,6.35647797584534,0.260869565217391,30,6.14784520864487,2.1985821723938,1.68795680999756,0.26459916806672,17,32,3.3064968585968,0.650070190429688,4.61325511778683,0.120050838460047
11,6044,124,7.24372221492849,0,0,1,0.653225806451613,1.67139053344727,0.350993377483444,106,1.57657026648521,0.599684357643127,0.256897211074829,0.153702684042954,0,0,NaN,NaN,NaN,NaN
