frame,pillar,fine,baseline,oldProbability,distributionScore,concentration,continuity,robustHeight,coreCount,elapsed
1,3746,0,0,1,0.898795408332999,0.958974358974359,0.937246548796443,3.40323731899261,187,0.008264
1,3846,1,1,1,0.937246548796443,1,0.937246548796443,3.40792086720467,195,0.008264
1,3868,0,0,0.603447794914246,0.422225693659138,0.622222222222222,0.678577007666473,2.30729193687439,56,0.008264
1,4403,0,1,0.657893180847168,0.284737077957444,0.454545454545455,0.626421571506378,5.45010760426521,20,0.008264
1,6044,0,1,0.514134287834167,0.482470165591258,0.56832298136646,0.84893657552123,1.58441498577595,183,0.008264
1,6045,0,1,0.515407621860504,0.528521930868316,0.621951219512195,0.849780359435331,1.54043056070805,204,0.008264
1,6866,0,1,0.928179204463959,0.502771771470213,0.583333333333333,0.861894465377508,2.43529292345047,28,0.008264
1,7873,0,1,1,0.569581944568004,0.6875,0.828482828462552,2.89880150854588,33,0.008264
1,9153,0,1,0.849020779132843,0.356362922914727,0.39344262295082,0.905755762408264,2.33806935548782,24,0.008264
11,1996,0,0,0.536153674125671,0.271314622636112,0.405405405405405,0.669242735835743,3.27530616521835,15,0.002983
11,3746,1,0,1,0.941988171200341,0.994818652849741,0.946894359592009,3.41081887483597,192,0.002983
11,3846,1,1,1,0.946894359592009,1,0.946894359592009,3.4115754544735,193,0.002983
11,3868,0,1,0.75636351108551,0.385157305632919,0.558558558558559,0.689555821375064,3.23199353218079,62,0.002983
11,4403,0,0,0.602669179439545,0.44613520289158,0.5,0.892270405783161,2.34513545632362,21,0.002983
11,6044,0,0,0.521787047386169,0.482178135587059,0.56832298136646,0.84842273037723,1.56974378526211,183,0.002983
11,6045,0,0,0.522798240184784,0.519861859900814,0.611801242236025,0.849723446132294,1.54425828009844,197,0.002983
11,6866,0,1,0.928319811820984,0.453920009254928,0.518518518518518,0.875417160705932,2.94233422279358,28,0.002983
11,7873,0,1,1,0.713950768645708,0.846153846153846,0.843759999308564,3.62660620212555,44,0.002983
21,1896,0,1,0.552189707756042,0.316954248676398,0.425,0.745774702767996,3.2037852704525,17,0.001492
21,3746,1,1,1,0.924210118666131,1,0.924210118666131,3.45293276309967,174,0.001492
21,5944,0,1,0.525871396064758,0.487650308470777,0.570121951219512,0.855343856569063,1.53495429903269,187,0.001492
21,5945,0,1,0.525207936763763,0.515351192200717,0.603076923076923,0.854536415638944,1.50355561971664,196,0.001492
21,7873,1,1,1,0.661080355758658,0.788461538461538,0.838443378035371,3.31422783136368,41,0.001492
21,8636,0,0,0.868835866451263,0.399405930109073,0.433962264150943,0.920370186773081,4.92808423042297,46,0.001492
31,1395,0,0,0.626867711544037,0.273437551378432,0.428571428571429,0.638020953216341,3.51953296661377,21,0.001798
31,3546,1,1,1,0.963100124344674,0.992063492063492,0.970804925339431,2.80438406765461,125,0.001798
31,3668,0,1,0.830487668514252,0.299622510106669,0.572916666666667,0.522977472186187,1.58450715243816,55,0.001798
31,4103,0,1,0.611164808273315,0.43836432560694,0.489795918367347,0.894993831447502,2.19437032043934,24,0.001798
31,5744,0,1,0.579373002052307,0.340625911140854,0.632352941176471,0.554253652892476,1.45780969262123,258,0.001798
31,5745,0,1,0.577126622200012,0.504152241606064,0.581453634085213,0.899645915364431,1.44566031694412,232,0.001798
31,6566,0,1,0.818195641040802,0.484406849049179,0.62,0.78130136943416,2.0548847168684,31,0.001798
31,7672,0,1,1,0.737095337751142,0.821428571428571,0.897333454653564,3.40398428440094,46,0.001798
31,8436,0,0,0.774391710758209,0.468589914840997,0.512605042016807,0.914134424034076,4.00671445131302,61,0.001798
41,3246,1,1,1,0.964564723815739,1,0.964564723815739,2.93061598539352,96,0.00424
41,3468,0,1,0.90394252538681,0.40006331596527,0.682352941176471,0.586299687190481,2.64528067111969,58,0.00424
41,5681,0,0,0.656082510948181,0.45800653141214,0.551020408163265,0.893202363903622,1.3958713144064,27,0.00424
41,6366,1,1,1,0.561274158485322,0.631578947368421,0.888684084268426,2.54128838777542,36,0.00424
41,7372,0,0,1,0.617099758083629,0.716216216216216,0.86161098298469,3.3354682803154,53,0.00424
41,7472,0,0,1,0.572213814898742,0.675675675675676,0.846876446050138,2.64945268630981,50,0.00424
41,8135,0,1,0.71229487657547,0.443016257498801,0.483660130718954,0.915966045909683,4.20919110774994,74,0.00424
41,9344,0,0,0.790043592453003,0.226339071827491,0.328125,0.689795266521877,3.11279035210609,21,0.00424
51,2946,1,1,1,0.96492390660462,1,0.96492390660462,3.11163969039917,74,0.001332
51,3069,0,1,1,0.481181269407004,0.53030303030303,0.907370393738922,1.5387154519558,35,0.001332
51,5144,0,0,1,0.599331717645464,0.646846846846847,0.926543463212346,1.94167827367783,359,0.001332
51,5966,1,1,1,0.697171191415872,0.733333333333333,0.950687988294372,2.02756102085113,33,0.001332
51,7426,0,1,1,0.746935103856884,0.956521739130435,0.780886699486743,3.30950424671173,22,0.001332
51,9142,0,0,0.605470418930054,0.331775685502647,0.464285714285714,0.714593784159547,3.0490918636322,26,0.001332
61,595,0,0,0.574836432933807,0.339611829596742,0.382978723404255,0.886764221724826,2.81843061447143,18,0.001283
61,2646,1,1,1,0.96118319795576,1,0.96118319795576,3.34524137973785,59,0.001283
61,4844,1,1,1,0.808273480659905,0.928104575163399,0.870886215077222,2.02574155330658,142,0.001283
61,5666,1,1,1,0.817167999250149,1,0.817167999250149,2.41307411789894,31,0.001283
61,6772,0,0,1,0.702718116599106,0.735294117647059,0.955696638574784,3.3586762547493,75,0.001283
61,7126,1,1,1,0.892233421647851,1,0.892233421647851,3.40158045291901,26,0.001283
61,7536,1,1,0.701080083847046,0.524196853670666,0.560846560846561,0.93465288060147,4.21567039489746,106,0.001283
61,8842,0,0,0.611552357673645,0.309725067269929,0.431034482758621,0.718562156066236,2.85104018449783,25,0.001283
61,9753,0,0,1,0.645359974332539,0.714285714285714,0.903503964065555,2.72572547197342,20,0.001283
71,1794,0,1,0.614992380142212,0.423776767850211,0.538461538461538,0.787013997436105,3.87148362994194,21,0.001651
71,2247,1,1,1,0.956001836665479,1,0.956001836665479,3.34885855913162,44,0.001651
71,2469,0,1,1,0.604171210929325,0.672727272727273,0.898092340570618,1.63874461650848,37,0.001651
71,5366,1,1,1,0.801396887841607,0.891891891891892,0.89853590454968,2.21615108251572,33,0.001651
71,6471,0,1,1,0.619497413499103,0.669811320754717,0.924883462407112,3.20969140529633,71,0.001651
71,6725,1,1,1,0.87586251842946,0.96969696969697,0.90323322213038,3.48291963338852,32,0.001651
71,7035,1,0,0.756507813930511,0.503856991475037,0.527027027027027,0.956036342798789,4.06484386920929,117,0.001651
71,7135,1,0,0.73931211233139,0.492031961296984,0.522727272727273,0.9412785346551,4.02654460072517,115,0.001651
71,8441,0,0,0.639658391475677,0.387013950039142,0.514285714285714,0.75252712507611,2.95009903907776,36,0.001651
71,8543,0,1,0.518885493278503,0.496985354811241,0.541666666666667,0.917511424266906,2.45608053207397,39,0.001651
71,9351,0,1,0.773530125617981,0.622260017504098,0.675675675675676,0.920944825906065,3.11230036616325,25,0.001651
71,9352,0,1,0.719815492630005,0.599040717338722,0.65,0.921601103598034,3.11179189682007,26,0.001651
81,2272,0,1,1,0.569987461480592,0.651162790697674,0.875337887273767,1.53939065933228,28,0.001388
81,2273,0,1,1,0.527570294172248,0.604651162790698,0.872520101900257,1.53996868133545,26,0.001388
81,3745,0,0,0.723933219909668,0.474291530587095,0.521276595744681,0.909865385207897,2.65071406364441,98,0.001388
81,3845,0,0,0.723933219909668,0.45652696362753,0.502645502645503,0.908248380269506,2.6679772734642,95,0.001388
81,5065,0,1,1,0.724983461240124,0.753086419753086,0.962682956728689,1.9114214360714,61,0.001388
81,5722,1,1,1,0.906704332584159,1,0.906704332584159,3.12847619056702,32,0.001388
81,6231,1,1,0.68727320432663,0.545137983768946,0.563706563706564,0.967059847918884,4.15309119224548,146,0.001388
81,6269,1,1,1,0.696833984214579,0.72258064516129,0.964368460296962,3.51458374261856,112,0.001388
81,7735,0,0,0.670641720294952,0.394960179917413,0.505747126436782,0.780943992109431,2.94358777999878,44,0.001388
81,7838,0,0,0.668305218219757,0.43317984877435,0.464912280701754,0.931745335099546,2.19274945855141,53,0.001388
81,8744,0,1,0.814446151256561,0.297876890447318,0.607142857142857,0.490620760736759,2.93607759475708,34,0.001388
81,8844,0,1,0.866884648799896,0.34795631060219,0.660377358490566,0.52690527034046,3.100002348423,35,0.001388
91,2949,0,1,0.673692107200623,0.426033238929985,0.5,0.852066477859971,2.62443337440491,41,0.002208
91,4122,1,1,1,0.858323434796369,1,0.858323434796369,3.26490879058838,30,0.002208
91,4664,1,1,1,0.706676992251727,0.733812949640288,0.963020607088138,1.82266216874123,102,0.002208
91,4764,1,1,1,0.741318021283674,0.76978417266187,0.963020607088138,1.84634490460157,107,0.002208
91,4929,0,1,0.738682508468628,0.478638995944756,0.505016722408027,0.94776860786412,4.49389946460724,151,0.002208
91,5222,0,1,0.695040881633759,0.30455460773291,0.627118644067797,0.485641131249776,3.55308797359467,37,0.002208
91,5322,0,1,0.722421884536743,0.290313616611513,0.6,0.483856027685855,3.54613913297653,36,0.002208
91,5965,1,1,1,0.807253093242538,0.826666666666667,0.976515838599844,3.59018564224243,186,0.002208
91,6041,0,0,0.6720250248909,0.43923249520302,0.464980544747082,0.944625533616536,3.57631565928459,239,0.002208
91,6141,0,0,0.658041417598724,0.389741414750088,0.455670103092783,0.855314869474175,3.5263653755188,221,0.002208
91,6429,0,0,0.686503887176514,0.406895899859401,0.546218487394958,0.74493249358875,2.48616719245911,65,0.002208
91,6631,0,0,0.626544594764709,0.434285940723107,0.488888888888889,0.888312151479083,2.20299768447876,66,0.002208
91,7734,0,1,0.633267164230347,0.448522537272093,0.679012345679012,0.660551373073446,3.11506801843643,55,0.002208
101,2426,0,1,1,0.758870305731935,0.92,0.824859027969494,3.25530709028244,23,0.002613
101,3312,0,0,0.630859553813934,0.321256373600657,0.377777777777778,0.854189193952956,1.49331879466772,17,0.002613
101,4265,0,1,0.835054039955139,0.678566187542963,0.704697986577181,0.962917732799062,2.26641389727592,105,0.002613
101,4828,0,1,0.713958323001862,0.457306520626734,0.48,0.952721917972363,2.19153733849525,84,0.002613
