frame,pillar,group,mass15over45,mass25over75,linearity45,radialStd15
1,1594,2,0.325,0.45,0.790213579319865,0.0665153251000563
1,3746,3,0.646153846153846,0.958974358974359,0.401688686488061,0.0608394614968363
1,3846,1,0.928205128205128,1,0.401688686488061,0.0710544639850469
1,3868,3,0.5,0.622222222222222,0.759586886013495,0.0827181348672582
1,4403,2,0.405405405405405,0.454545454545455,0.376041566353642,0.0809341951769456
1,5789,1,0.314606741573034,0.342857142857143,0.212396584617172,0.0816793858409284
1,5889,1,0.27906976744186,0.357142857142857,0.302110833570054,0.0884074448952209
1,6044,2,0.433823529411765,0.56832298136646,0.837852516925923,0.0936565221336368
1,6045,2,0.462365591397849,0.621951219512195,0.839989415920823,0.0926941214648883
1,6866,2,0.5,0.583333333333333,0.78161422170459,0.0689774498388596
1,6867,2,0.277777777777778,0.534883720930233,0.533905517251663,0.0763444728996618
1,7873,2,0.446808510638298,0.6875,0.650461313845159,0.0881876304582324
1,8736,2,0.344262295081967,0.476744186046512,0.49172589033737,0.0816265146384311
1,8737,2,0.380952380952381,0.452631578947368,0.563533116790649,0.0856576253923847
1,9153,2,0.485714285714286,0.39344262295082,0.219736995514729,0.0803817696081515
11,1292,2,0.272727272727273,0.333333333333333,0.817288176290304,0.0560659662219892
11,1594,2,0.358974358974359,0.410714285714286,0.371470720841793,0.0772791951537916
11,1996,3,0.571428571428571,0.405405405405405,0.93005231406758,0.0743118115142381
11,3288,2,0.3,0.27906976744186,0.234020567447434,0.0757447060560442
11,3746,1,0.829015544041451,0.994818652849741,0.428704136527439,0.0632845797961831
11,3846,1,0.948186528497409,1,0.428704136527439,0.0707525028221149
11,3868,2,0.443181818181818,0.558558558558559,0.447274502345461,0.0887718803856235
11,4403,3,0.5,0.5,0.584519777063915,0.0901905423806181
11,5789,1,0.311111111111111,0.357142857142857,0.371597446535348,0.0866986521998718
11,5889,1,0.333333333333333,0.411764705882353,0.478714877513199,0.0907572344943212
11,6044,3,0.386861313868613,0.56832298136646,0.824937425285538,0.0920288236650453
11,6045,3,0.431159420289855,0.611801242236025,0.836273999700045,0.0909209535114624
11,6866,2,0.478260869565217,0.518518518518518,0.474550673447593,0.0857822302847095
