variant,fusedRmseCm,fusedAfter2sRmseCm,fusedMaxAfter2sCm,matchRmseCm,accepted
"production (ref+[0.5,-0.4,2deg] init, INS tilt)",8.21556148642554,7.87541991450812,23.5787482376,11.5059950563134,1167
"GNSS XY init, ref yaw +0 deg",10.7071352765945,7.8754289227101,23.5787482376,11.5087426109115,1167
"GNSS XY init, ref yaw -3 deg",10.6984578683283,7.8754236570288,23.5787482376,11.5033594751256,1167
"GNSS XY init, ref yaw +3 deg",10.7125053630443,7.87543076124511,23.5787482376,11.5091503821168,1167
"GNSS XY init, ref yaw -8 deg",10.6992494667456,7.87541189500224,23.5787482376,11.4924651448006,1167
"GNSS XY init, ref yaw +8 deg",10.7313358233248,7.87542973135212,23.5787482376,11.5086936972464,1167
"ref XY +2/-2 m init",13.7133473345438,7.87542959383516,23.5787482376,11.5094349577984,1167
"ref XY -3/+3 m init",18.7084494662202,7.87542233351766,23.5787482376,11.509435249551,1167
"zero tilt sources (no INS roll/pitch)",8.17633916067991,7.83257235224298,23.722508545296,11.7466257439692,1167
