variant,positionRmseM,positionMedianM,positionP95M,headingRmseDeg,maximumHeadingChangeRad,maximumVelocityChangeMps
current,0.103445400549985,0.065768374111821,0.210695171465833,0.706161716026023,0,0
quarter_lidar_position_gain,0.0771142810685254,0.0434747941579591,0.169304070804098,0.706161716026023,0,0
disable_lidar_velocity_bias,0.111734804468127,0.0765452904238383,0.219005087639144,0.690429331934844,0.00423006831974038,0.261835953491884
