variant,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches
three_scan_recorded_seed,1,accepted,0.927990654577708,-0.80125105141939,0.310809928055269,3,9,138
three_scan_reference_seed,1,accepted,0.422760497145849,-1.24697968286289,0.306790251716519,3,15,141
single_scan_recorded_seed,1,accepted,0.709110796868609,-1.70987455088999,0.219430970114753,3,24,32
single_scan_reference_seed,0,notConverged,0.286191110965981,-0.0483941346517291,0.287305577104066,3,40,32
fine_single_recorded_seed,0,inconsistentClasses,0.780810264094216,-0.921527911826124,0.323771467700681,3,17,39
fine_single_reference_seed,1,accepted,0.53268799789775,-0.978891093287113,0.510451714310838,3,9,37
three_scan_without_curb,1,accepted,1.03254538246388,-0.658270638445795,0.454652135101535,3,7,60
three_scan_without_pole,1,accepted,0.858201810805971,-0.864922711682983,0.333481594728429,3,14,117
three_scan_without_sign,0,insufficientOverlap,0.771720544971437,-1.38820823951153,0.117262751675611,3,40,103
three_scan_gnss_xy_seed,1,accepted,0.422759516430212,-1.24697773194258,0.306789974584551,3,16,141
uniform_map_priors_recorded_seed,1,accepted,0.955543020961059,-0.790349744583431,0.347044635528417,3,7,138
uniform_map_priors_reference_seed,1,accepted,0.428083995365374,-1.47650223914421,0.324779668618948,3,14,141
association_gate_1m,1,accepted,0.978840571377768,-0.436020417774367,0.346718911268362,3,6,83
association_gate_0p5m,1,accepted,1.0439367642388,-0.316098401322437,0.337389771694885,3,7,60
reference_window_motion_recorded_seed,1,accepted,0.841028905367588,-0.791667896276877,0.300232050875402,3,12,138
reference_window_motion_reference_seed,1,accepted,0.46447265447651,-1.31330377330677,0.301086137313263,3,15,142
