variant,frame94ErrorM,allFrameRmseM,allFrameMaximumM,frame94YawErrorDeg
reproduced_baseline,0.375664873236837,0.0876837828203157,0.375664873236837,-0.676203003730404
reference_lidar_xy_60_95,0.155391816464436,0.0824175552677729,0.333904802696601,-0.676203003730404
reference_lidar_yaw_60_95,0.372436245621139,0.0875529202134864,0.372436245621139,-0.0281688320959839
reference_lateral_velocity_60_95,0.270898048457924,0.0836904577342409,0.333904802645924,-0.676203003730404
