source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,physicalResidualM,referencePoseResidualSamePairsM,sourceX,sourceY,targetRelativeX,targetRelativeY
1,7,curb,15.7639236238615,NaN,0.00298630535845243,0.0048724003147689,0.0013833291369421,0.96493655813065,0.261222350052586,0.479085375032327,-6.6609095611271,-9.83351547183702,2.66773136984557
2,12,curb,9.33965989416155,NaN,0.00223622397937449,0.00557641239733094,0.00223562141316315,0.793389081169111,0.0782418227402869,1.29923179913751,-6.32626983885388,-5.17667688883375,-2.97699398268014
3,7,curb,19.8322345048118,NaN,0.00298630535845243,0.00472198126048233,0.00113151282619478,1.04318398534179,0.357869434892537,1.43273264152693,-5.75022080283346,-9.83351547183702,2.66773136984557
6,12,curb,0.233853854505664,NaN,0.00223622397937449,0.00647124016857027,0.00623784125323222,0.128654581446146,0.577079232675116,2.23515755671102,-6.43949480026953,-5.17667688883375,-2.97699398268014
7,12,curb,7.18286114363204,NaN,0.00223622397937449,0.00550827653579964,0.00256287383459391,0.781076934610533,0.0804101217240248,2.1233877726764,-5.69937231749432,-5.17667688883375,-2.97699398268014
8,7,curb,13.3666113443676,NaN,0.00298630535845243,0.00485317152567597,0.00154625697083936,0.842049480151877,0.174663070856927,2.53978523297229,-5.07573862394195,-9.83351547183702,2.66773136984557
11,12,curb,0.820298040484455,NaN,0.00223622397937449,0.00520136094702846,0.0045978975331428,0.19431666928196,0.891459147828656,2.91647589855593,-6.3178621923274,-5.17667688883375,-2.97699398268014
12,12,curb,0.136455781610864,NaN,0.00223622397937449,0.00687230123911899,0.00672546467293631,0.109314670260587,0.580512568244388,3.14402516913861,-5.75546744427504,-5.17667688883375,-2.97699398268014
13,12,curb,4.53835964789578,NaN,0.00223622397937449,0.0051645420981806,0.00299196441044905,0.760392258756235,0.0794300177636274,3.24727041033022,-4.84942514632572,-5.17667688883375,-2.97699398268014
17,12,curb,0.411872339967451,NaN,0.00223622397937449,0.00683181262692215,0.00640943367558917,0.138460941928556,0.820895607254693,3.7119186954962,-5.6269139319434,-5.17667688883375,-2.97699398268014
18,12,curb,0.156921425154087,NaN,0.00223622397937449,0.0066938224326777,0.00652987408897862,0.135857144520317,0.536371072549323,4.1203846212306,-4.96064579169387,-5.17667688883375,-2.97699398268014
19,12,curb,7.2927543777987,NaN,0.00223622397937449,0.00475071023603487,0.00219245938801736,0.679273626799807,0.0139670217111821,4.17962872343325,-4.22541864120253,-5.17667688883375,-2.97699398268014
22,13,curb,104.111068456527,NaN,0.00193420485564809,0.00268915665187565,0.000152293098547187,2.19311304539682,2.88920024211336,4.87849941032125,-7.36481696949397,-3.28770240629092,-5.49797391984612
23,13,curb,70.6535543184434,NaN,0.00193420485564809,0.000779461690019907,6.33473394799397e-05,1.80462817253261,2.50148209642229,4.60502380562334,-7.08401936374169,-3.28770240629092,-5.49797391984612
24,13,curb,0.0160254407835983,NaN,0.00193420485564809,0.00711614766833241,0.0070979480290006,0.0362050737323397,0.710794441816012,4.83865118798584,-4.70763816787995,-3.28770240629092,-5.49797391984612
25,13,curb,1.4019092894587,NaN,0.00193420485564809,0.00595578277603883,0.00486462148754457,0.39461682881969,0.273113657902123,4.97793592662769,-4.06752704692811,-3.28770240629092,-5.49797391984612
26,12,curb,9.87543283170231,NaN,0.00223622397937449,0.0047953928841837,0.00185862952262746,0.769037223990463,0.121740216768866,5.14062161635884,-3.36241365034912,-5.17667688883375,-2.97699398268014
28,25,curb,6.87657682513497,NaN,0.000801370534206954,0.00535206842981674,0.0025482978640938,0.816312595396222,0.158841624351976,5.50840219799064,6.81489543643138,10.9993774114992,-13.003047849983
29,25,curb,28.4424778224616,NaN,0.000801370534206954,0.00601209634666708,0.00108310517222096,1.19557397055032,0.546501725741311,5.85700225383197,7.43636457088312,10.9993774114992,-13.003047849983
30,13,curb,63.100207154866,NaN,0.00193420485564809,0.00349973828398855,0.000315404454756466,1.70814506268239,2.38562566540788,5.66020898476808,-6.1800999673944,-3.28770240629092,-5.49797391984612
31,13,curb,0.000211398053400569,NaN,0.00193420485564809,0.00675239653526382,0.00675216815203125,0.00372905787952943,0.662053154350309,5.7532170783527,-3.98789426414351,-3.28770240629092,-5.49797391984612
32,13,curb,1.06608564375294,NaN,0.00193420485564809,0.00538831043837119,0.00460313641469957,0.343218104679595,0.30685807568008,6.0217836393472,-3.35623912015405,-3.28770240629092,-5.49797391984612
33,25,curb,7.94295718526593,NaN,0.000801370534206954,0.00236433078632137,0.00104115493491723,0.604992287472631,0.0415441617504846,6.29493725685661,7.00231212257093,10.9993774114992,-13.003047849983
34,25,curb,10.0247554993624,NaN,0.000801370534206954,0.00600375554983923,0.00230562432645857,1.07176698301766,0.432294520174715,6.51840711054205,7.65532188364583,10.9993774114992,-13.003047849983
35,25,curb,28.6257738500348,NaN,0.000801370534206954,0.00584229132254724,0.00104698238160768,1.47015038672357,0.839457794193292,6.8819254977749,8.30667870460269,10.9993774114992,-13.003047849983
36,13,curb,28.5096811090859,NaN,0.00193420485564809,0.00389029296416897,0.000699498103844817,1.32660078525234,1.97782948361783,6.94190395511482,-4.75285187182999,-3.28770240629092,-5.49797391984612
37,13,curb,5.91279616213569,NaN,0.00193420485564809,0.00486633083339682,0.00250062299024746,0.680862866473132,1.32803409616751,6.7934259331504,-4.05876280333243,-3.28770240629092,-5.49797391984612
38,13,curb,0.0317045950736143,NaN,0.00193420485564809,0.00543939428405771,0.00541194094068384,0.0511262345450674,0.693251249576233,6.71116050993471,-3.3354267944506,-3.28770240629092,-5.49797391984612
39,25,curb,6.51208396797257,NaN,0.000801370534206954,0.00353844320203558,0.00173288861507433,0.698524066095737,0.065763492751759,7.1161070449126,7.55563935927553,10.9993774114992,-13.003047849983
40,25,curb,18.2943472256113,NaN,0.000801370534206954,0.00603591209160078,0.00153699139870139,1.37830607282607,0.756510134011947,7.48408397382127,8.5297851748477,10.9993774114992,-13.003047849983
41,25,curb,55.6122998330387,NaN,0.000801370534206954,0.00339264037536287,0.000342761300553742,1.60179647561426,0.986459454704591,7.78433684296251,8.94760588170633,10.9993774114992,-13.003047849983
43,13,curb,64.8491122290254,NaN,0.00193420485564809,0.00297760644379425,0.000261747857185153,1.72891142073806,2.3741778477376,7.52180879686227,-4.82327271874668,-3.28770240629092,-5.49797391984612
44,13,curb,23.9894141466261,NaN,0.00193420485564809,0.00439197669231218,0.000907750864281006,1.42709741299012,2.06603972739821,7.70659269541172,-4.31006738470347,-3.28770240629092,-5.49797391984612
45,25,curb,5.78086469790702,NaN,0.000801370534206954,0.000732759047617244,0.000380666241588147,0.516125278143266,0.102513022358119,8.08922752537809,7.87751379661305,10.9993774114992,-13.003047849983
46,25,curb,10.9525301110106,NaN,0.000801370534206954,0.00475645514678718,0.00172810885814944,1.02617907378945,0.412446314435128,8.15669904485044,8.49490793253012,10.9993774114992,-13.003047849983
47,25,curb,24.7674481742244,NaN,0.000801370534206954,0.00580098076529528,0.00116889466791225,1.60479531537258,1.00061426839582,8.48365955186653,9.33156059313132,10.9993774114992,-13.003047849983
49,13,curb,31.8351797276885,NaN,0.00193420485564809,0.00195174292174352,0.000320292390586477,1.37870462003087,2.0005578797151,8.65904861483574,-3.54235392203556,-3.28770240629092,-5.49797391984612
50,13,curb,0.223716154514081,NaN,0.00193420485564809,0.00178061837622193,0.001719084461809,0.120724412731858,0.726274329039289,8.85195246540108,-1.83205869412236,-3.28770240629092,-5.49797391984612
51,25,curb,15.0401668960927,NaN,0.000801370534206954,0.0043339689366415,0.00127229185126682,1.22704064592312,0.632660094879212,9.27749220238512,9.33346838011871,10.9993774114992,-13.003047849983
52,13,curb,27.8313970288804,NaN,0.00193420485564809,0.00417230920170992,0.000765136842500604,1.66110293416669,2.27222173610633,9.44208599988233,-3.31252887547764,-3.28770240629092,-5.49797391984612
53,13,curb,53.7366907527566,NaN,0.00193420485564809,0.00259295981375179,0.000270159907682588,1.57382407539053,2.17515266369013,9.95256579411114,-2.82465238837927,-3.28770240629092,-5.49797391984612
54,13,curb,9.09433132519424,NaN,0.00193420485564809,0.00331230336496861,0.00134915595813959,0.708511003800189,1.30160959749019,9.91392920203401,-1.77546290035008,-3.28770240629092,-5.49797391984612
55,13,curb,10.2048808671885,NaN,0.00193420485564809,0.00521454027113326,0.00198062064123296,0.849615716218399,1.43417185304241,10.4876738623489,-1.52508519334533,-3.28770240629092,-5.49797391984612
56,13,curb,1.59937142432695,NaN,0.00193420485564809,0.00518220105076811,0.00412628665614176,0.379437757013185,0.954752445663205,10.7404899478241,-0.751624862103155,-3.28770240629092,-5.49797391984612
58,13,curb,21.9395774943165,NaN,0.00193420485564809,0.00435953920838263,0.000966567166814932,1.5213301484949,2.09414173875467,11.5586485654041,-1.56635182776522,-3.28770240629092,-5.49797391984612
65,10,curb,0.171249633323252,NaN,5.38299466816164e-10,0.00196452354304121,0.00191213125873337,0.089489654813109,0.693065115705249,13.8355709393965,-0.228592106628385,3.80344612785848,-19.1901604784653
68,93,pole,0.364564986766403,NaN,0.00023362455678396,0.0145948591043483,0.01379045630131,0.151569603706333,1.21515778567405,-13.7391081055381,0.0758230854121369,0.966851421981119,13.5325795505196
70,85,pole,0.532192313580687,NaN,0.000794152550885848,0.0146415327307382,0.0134926252951976,0.181270286960441,1.1194086621818,-2.83950876735436,-12.8872690403735,-11.828115543176,2.56400821823627
71,111,pole,2.08603479369861,NaN,0.000140161068246464,0.0155999375034502,0.0116961615215745,0.377871093037809,1.28148947701384,0.344945073288563,22.6783103963427,23.9419963671826,-0.0632532592862844
72,111,pole,0.277296963476939,NaN,0.000140161068246464,0.0145335133295893,0.013916090966627,0.132607859473799,1.05528549099701,0.276557038467274,22.9293985202729,23.9419963671826,-0.0632532592862844
74,98,pole,0.968168859907212,NaN,0.000619223455374794,0.01607719961475,0.0139207740276498,0.26781420394584,1.06748879294955,5.03289507136102,8.01646247011839,9.19397252518684,-4.87965775560588
75,81,pole,62.1876375708248,NaN,0.000162615632646987,0.0156596373202251,0.00143010099011849,1.90521856282813,1.09778079886105,7.16102971727342,-13.7676322141281,-14.6866394499084,-7.28295991010964
77,90,pole,61.9302727922115,NaN,0.000420525992848173,0.0142134536509805,0.00130292944983312,1.90689543989362,1.17124431548073,13.6341533012345,0.0543017936966792,-0.782751923601609,-13.3669384894893
80,89,pole,51.1390008036422,NaN,0.000280284490137515,0.015163440466166,0.00165138792427839,1.67506858304556,1.17736941924253,29.4151751595034,1.35072551178912,1.02302343689371,-28.7313031237572
81,157,trafficSign,6.40998578533874,NaN,0.000186911315904927,0.00448026191882297,0.00221182215110159,0.544355981949984,1.95131298701714,-32.6705827709082,18.1202945842632,19.3152969726361,32.7720530135557
82,119,trafficSign,0.93019677927767,NaN,0.000191604719691315,0.009281449954437,0.00807903515717671,0.425202790647097,1.17645147105579,-32.703242221811,-26.4083796005777,-25.957928923599,32.0292313061655
85,156,trafficSign,1.89381858554361,NaN,0.000651244207230426,0.00888932798390742,0.00682214360693704,0.601301750685214,1.80636916454891,-16.6166940776144,18.2760056900643,19.6532506084768,16.583804260008
86,156,trafficSign,0.806557230090282,NaN,0.000651244207230426,0.0135408308524617,0.0119931278197545,0.24729292583259,1.42888208271647,-16.4555038100624,18.62476941956,19.6532506084768,16.583804260008
87,128,trafficSign,0.32309058644958,NaN,0.000694718917667968,0.01152206154703,0.0109557115822186,0.233552781629068,1.28320421216453,-13.7700922660296,-0.00976306836476327,0.938698852027301,13.5030428050086
88,128,trafficSign,0.369598718547849,NaN,0.000694718917667968,0.010165590635755,0.00959800498109442,0.170489256048496,0.947256224070936,-13.5770852387399,0.29778793429951,0.938698852027301,13.5030428050086
89,118,trafficSign,1.86743583631436,NaN,0.000642614671042456,0.00556345311399367,0.00428356720812075,0.565730620194091,1.029725701302,-14.4519178848418,-24.2127180861865,-23.5403695806162,13.620879817754
90,118,trafficSign,1.0023179510179,NaN,0.000642614671042456,0.00499633175353296,0.00430580590515865,0.736456980489782,0.84378736157416,-14.5376853035333,-23.9762171713286,-23.5403695806162,13.620879817754
91,135,trafficSign,1.29443138088823,NaN,0.000903394613743583,0.0115016292421409,0.00952824396355204,0.446573174802507,0.449590054272467,5.03005186408312,8.17402516647591,8.73378016648348,-4.85554031375796
92,125,trafficSign,0.257861671218378,NaN,0.000613309222795374,0.0127792307412688,0.0122728779694509,0.235240829325267,0.968611896206449,13.6093364671753,0.0642985777633396,1.33544995740522,-13.6542065078393
93,125,trafficSign,0.154146035714071,NaN,0.000613309222795374,0.00203673516636753,0.00198771151045086,0.107360559882792,0.634237312891086,13.6109812530324,0.39988124004621,1.33544995740522,-13.6542065078393
94,125,trafficSign,0.281788477230277,NaN,0.000613309222795374,0.00973553593811965,0.00931553430203074,0.540744751654379,1.2121511600954,13.8504652351883,-0.169908476626321,1.33544995740522,-13.6542065078393
95,133,trafficSign,0.134607062699363,NaN,0.00149500574465366,0.00855192583561461,0.00837162505815875,0.371242598400196,0.200391115090651,31.3519135064524,8.90348764628646,9.72146030369913,-31.3056257814169
96,133,trafficSign,0.659187493151952,NaN,0.00149500574465366,0.00482641912453,0.00436594310954953,0.574966231769589,0.0692353305627038,31.48210953693,9.08113387150759,9.72146030369913,-31.3056257814169
110,25,curb,5.61721654878714,NaN,0.000801370534206954,0.00517332654360378,0.00272458927201663,0.791915130721549,0.141155521873632,5.94147293991831,7.02277777634487,10.9993774114992,-13.003047849983
111,25,curb,22.309053514248,NaN,0.000801370534206954,0.00576123218159445,0.00126081563301813,1.32080462815957,0.677503221959316,6.16039691612491,7.74402948565113,10.9993774114992,-13.003047849983
112,25,curb,7.28426557017137,NaN,0.000801370534206954,0.00258943641368876,0.00119577804215865,0.579364143128424,0.0602528458202167,6.74165991647817,7.21622214730228,10.9993774114992,-13.003047849983
113,25,curb,13.6114793926138,NaN,0.000801370534206954,0.00581983963296924,0.00183138410724756,1.13514198177858,0.501451333345896,6.8516766291722,7.90882279138124,10.9993774114992,-13.003047849983
114,25,curb,53.9396235415616,NaN,0.000801370534206954,0.00246421351572822,0.000255880225977266,1.58809059203492,0.959640011040682,6.967104647045,8.48730040804982,10.9993774114992,-13.003047849983
115,25,curb,9.23568897839761,NaN,0.000801370534206954,0.00392116644256936,0.00158257668097596,0.772394109663271,0.149956801718237,7.72968578125081,7.97362045942075,10.9993774114992,-13.003047849983
116,25,curb,23.0836815826616,NaN,0.000801370534206954,0.00584037367133406,0.00124438302580517,1.35897864963425,0.740187195833649,7.68192328476148,8.61543699714245,10.9993774114992,-13.003047849983
117,25,curb,47.0504144412779,NaN,0.000801370534206954,0.00317156028072133,0.000371896765950045,1.71816548890112,1.10670591815226,7.97298375714478,9.18274143862154,10.9993774114992,-13.003047849983
118,13,curb,63.2621424980087,NaN,0.00193420485564809,0.00267038061134471,0.000240100192874684,1.70762566638632,1.11025880163991,8.24180034523617,-0.00774232436424703,-3.28770240629092,-5.49797391984612
119,13,curb,80.8866769146568,NaN,0.00193420485564809,0.00271541078944817,0.000194766635990411,1.93089751041772,1.33582939320066,8.24188944017844,0.270444853347278,-3.28770240629092,-5.49797391984612
