mode,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,headingRmseDeg,mapXRmseM,mapYRmseM
recursive,accepted_matching_measurements,1166,0.182345621304496,0.115630570787875,0.328020158009749,0.844665885966459,0.58318107709571,0.148849751339701,0.105326526264906
recursive,all_outputs_with_prediction,1170,0.182534824775724,0.11581765665769,0.328015227217839,0.844665885966459,0.582579001856678,0.149071198722659,0.105341064961836
referenceSeed,accepted_matching_measurements,1167,0.182170095268298,0.114658746965656,0.333380676762423,0.839791350154831,0.659581947667552,0.141567835728986,0.114649428681837
referenceSeed,all_outputs_with_prediction,1170,0.184802958577519,0.115171930451796,0.341238259545322,0.839791350154831,0.666475241375583,0.143635265221545,0.116280024439887
