variant,accepted,acceptedRmse,allRmse,p95,max,above1,acceptedMax
tail_1_0.5,1094,0.189023871507562,0.261180890238706,0.485793390831541,1.61596767365155,17,1.37067884505508
tail_2.5_0.75,1148,0.1762652042231,0.183689531588454,0.328015226412067,0.844665886034694,0,0.844665886034694
tail_2.5_1,1163,0.181639465751676,0.18247580798184,0.328015226412067,0.844665886034694,0,0.844665886034694
tail_1_0.75,1130,0.206920189847696,0.259146809025466,0.490411774642631,1.61596767365155,16,1.37067884505508
