frame,start,accepted,reason,distance,yawdeg
15,1,True,accepted,0.038523015633640204,-0.08447247736903847
15,2,True,accepted,0.038526959690902265,-0.08449105656239148
15,3,True,accepted,0.03852321233584507,-0.08447266395411607
45,1,True,accepted,0.058328816466213865,0.11248037569017529
45,2,True,accepted,0.05833310813614607,0.11244286433115938
45,3,True,accepted,0.05833310303480682,0.11244290128037558
75,1,True,accepted,0.08014205988199846,-0.3867388068887116
75,2,True,accepted,0.08015344428830128,-0.38678434073082024
75,3,True,accepted,0.06748237752480488,-0.4575806681473357
105,1,True,accepted,0.05141030347792549,-0.6961890046111572
105,2,True,accepted,0.05141449026735543,-0.6962090498613313
105,3,True,accepted,0.051411442625190526,-0.6961928191656627
135,1,True,accepted,0.22761908904202577,2.927484209704742
135,2,True,accepted,0.12069558803493534,0.4760143967078479
135,3,True,accepted,0.12069558257658447,0.4760143912178671
165,1,False,inconsistentClasses,0.22931303010187581,-0.7472240309613966
165,2,True,accepted,0.2619732029760658,-0.7900922047412451
165,3,True,accepted,0.1150690579540703,0.45751412950399495
195,1,True,accepted,0.10877529370419083,-0.4157975956099524
195,2,True,accepted,0.4238127589846525,1.451735144328179
195,3,True,accepted,0.10876728435865043,-0.41573106661916254
225,1,True,accepted,0.030585845243785464,0.03384553926929108
225,2,True,accepted,0.030583906775358213,0.033837765968179695
225,3,True,accepted,0.030582214987839595,0.033832438664809214
255,1,True,accepted,0.10254116983955847,0.06258484697614954
255,2,True,accepted,0.10254166337858454,0.06258714111680594
255,3,True,accepted,0.10254186761011701,0.06258790391015119
285,1,False,inconsistentClasses,0.3082488508226483,-1.1779924101683539
285,2,False,notConverged,0.3266182787606489,0.9862609773639935
285,3,False,acceptedDirectional,0.06485084779993583,-0.08490622836805461
315,1,True,accepted,0.11149326425801248,0.4872055398653024
315,2,True,accepted,0.014293464175506813,-0.048039590550639125
315,3,True,accepted,0.014292390360325091,-0.048037550711690274
345,1,True,accepted,0.025269937650728207,0.17904505325845574
345,2,True,accepted,0.025261575141154638,0.17903994533786458
345,3,True,accepted,0.02526503870725381,0.17904319897196014
375,1,True,accepted,0.16899584644170332,-0.03878161660725268
375,2,True,accepted,0.16899155060528523,-0.03884307052155112
375,3,True,accepted,0.1689940169883881,-0.03880551614788679
405,1,True,accepted,0.07078627365947182,0.26325025196576585
405,2,True,accepted,0.2894417178415627,0.27851383992906675
405,3,True,accepted,0.07078118041146095,0.2632109518939666
435,1,True,accepted,0.03836937908044473,0.02441870866006279
435,2,True,accepted,0.038379398750535726,0.02432714225296342
435,3,True,accepted,0.03837297815259149,0.024390977230403992
465,1,True,accepted,0.17122087234077887,-0.057198149836031026
465,2,True,accepted,0.1712223545236886,-0.05720443633900829
465,3,True,accepted,0.17122191905614115,-0.05718837953805509
495,1,True,accepted,0.10056508745295685,0.06408615572925225
495,2,True,accepted,0.0751269307942574,-0.17381551659582906
495,3,True,accepted,0.07512810532759401,-0.1737630376668726
525,1,True,accepted,0.05831791865082127,0.11800663524771705
525,2,True,accepted,0.12513895076327172,-0.10331446559158446
525,3,True,accepted,0.05831336848147904,0.11795158554610385
555,1,True,accepted,0.12549201854375286,0.8149731960361672
555,2,True,accepted,0.2529144757564972,0.11834419028204925
