dataset,frame,start,accepted,reason,distance,yawdeg,similarity
original,28,1,1,accepted,0.0582812599474666,-0.0827819283587722,0.939019873575527
original,28,2,1,accepted,0.0582867102111881,-0.0828137498062484,0.939019587806379
original,28,3,1,accepted,0.058277830419372,-0.0827659919443836,0.939020016543703
original,214,1,1,accepted,0.0270580546746577,0.221509113621015,0.947521908302872
original,214,2,1,accepted,0.0270549536890175,0.221480655304348,0.947521530013275
original,214,3,1,accepted,0.0270568790907993,0.221505291400596,0.94752188458359
original,458,1,1,accepted,0.0669777556650088,0.233163130705555,0.972722244102292
original,458,2,1,accepted,0.0669824539691639,0.233132931545438,0.972722183775522
original,458,3,1,accepted,0.0669818796264931,0.233162566503665,0.972722229833499
original,600,1,1,accepted,0.116986436578116,0.723909180063431,0.759091204616853
original,600,2,1,accepted,0.116984261912262,0.723896918648824,0.75909139295547
original,600,3,1,accepted,0.116983452370888,0.723890962687206,0.75909112779698
original,855,1,1,accepted,0.134741887071446,-0.113647474675731,0.949441030637706
original,855,2,1,accepted,0.134746715772354,-0.113664290150408,0.949441144981015
original,855,3,1,accepted,0.134746312376678,-0.113662988206295,0.949441136927728
original,943,1,1,accepted,0.102488656621148,0.356518501037794,0.877673058555217
original,943,2,1,accepted,0.0701104116155086,0.0275231832731757,0.879284196675933
original,943,3,1,accepted,0.0701058036004208,0.0274980300757615,0.8792866593902
original,1137,1,1,accepted,0.242198613450907,0.64155802202966,0.926774040413963
original,1137,2,1,accepted,0.176238373506665,0.0159605228324985,0.957186894333577
original,1137,3,1,accepted,0.176238365833958,0.0159606100790875,0.95718689411978
additional,15,1,1,accepted,0.0385143061710559,-0.0844390230030339,0.914048613167733
additional,15,2,1,accepted,0.0385230157082504,-0.0844724781935909,0.914048066350286
additional,15,3,1,accepted,0.0385167771589561,-0.0844464775032314,0.914048489398029
additional,45,1,1,accepted,0.0583422582652081,0.11244652118711,0.915032984258596
additional,45,2,1,accepted,0.0583331209702887,0.112442845747636,0.915032951954533
additional,45,3,1,accepted,0.0583435931292372,0.112443748287888,0.915033001429811
additional,75,1,1,accepted,0.080162135432862,-0.386818157665861,0.737421678528641
additional,75,2,1,accepted,0.0801584572505515,-0.386829337109466,0.737421269739375
additional,75,3,1,accepted,0.0801620266521111,-0.386843010323202,0.737421459460944
additional,105,1,1,accepted,0.0514114534530516,-0.696197403123304,0.620222481361062
additional,105,2,1,accepted,0.0514209246266809,-0.696263695633823,0.620223952468352
additional,105,3,1,accepted,0.0514136523249134,-0.696214543278788,0.620222829721839
additional,135,1,1,accepted,0.120695582576584,0.476014395898753,0.869181537429863
additional,135,2,1,accepted,0.120695133052322,0.475991254091749,0.86918252188387
additional,135,3,1,accepted,0.12069742659882,0.476008263304076,0.869182327581349
additional,165,1,1,accepted,0.115053848835473,0.457569194100171,0.943414871623109
additional,165,2,1,accepted,0.11507080738432,0.457510702297552,0.943414764594239
additional,165,3,1,accepted,0.115053848913994,0.457569193753045,0.943414871622495
additional,195,1,1,accepted,0.423808766139116,1.45171698978705,0.731915232539853
additional,195,2,1,accepted,0.423813658553376,1.45174172913834,0.731919512345125
additional,195,3,1,accepted,0.423811673374774,1.45176209652928,0.73192183233271
additional,225,1,1,accepted,0.0305761923893286,0.0338151228282323,0.932865724367096
additional,225,2,1,accepted,0.0305838892502433,0.0338377062946764,0.932865620773471
additional,225,3,1,accepted,0.0305822149878396,0.0338324386648092,0.932865644079906
additional,255,1,1,accepted,0.102534970488355,0.0625477695704114,0.866218566643583
additional,255,2,1,accepted,0.10253735324769,0.0625759921293525,0.866218040989432
additional,255,3,1,accepted,0.102539590489935,0.0625787395441258,0.866217558583632
additional,285,1,0,inconsistentClasses,0.308248850822648,-1.17799241016835,0.839844954689228
additional,285,2,0,notConverged,0.326618278760649,0.986260977363994,0.925891289252142
additional,285,3,0,acceptedDirectional,0.0648508477999358,-0.0849062283680546,0.890526059830514
additional,315,1,1,accepted,0.144562169288262,0.87577192807151,0.920461814257249
additional,315,2,1,accepted,0.144563809244642,0.875768136673923,0.920461918906435
additional,315,3,1,accepted,0.144563831710801,0.875768079618004,0.920461920771605
additional,345,1,1,accepted,0.0252727953557723,0.179045244286857,0.849596727183674
additional,345,2,1,accepted,0.0252722592171517,0.179044870530526,0.849596718083462
additional,345,3,1,accepted,0.0252720271043326,0.179083737392063,0.849596790013192
additional,375,1,1,accepted,0.16899587403441,-0.0387813658953609,0.959245611613197
additional,375,2,1,accepted,0.168992580257879,-0.0388299832644197,0.959245560973186
additional,375,3,1,accepted,0.168995881718254,-0.0387812356113681,0.959245611548088
additional,405,1,1,accepted,0.0707883247109333,0.263262547667045,0.943108897021014
additional,405,2,1,accepted,0.070792315417431,0.263292756279631,0.94310890746681
additional,405,3,1,accepted,0.0707904762090728,0.263278665292456,0.943108908967326
additional,435,1,1,accepted,0.0383670174545844,0.0244462985533971,0.887405286412679
additional,435,2,1,accepted,0.0383696171140305,0.0244358083023155,0.887404811552351
additional,435,3,1,accepted,0.0383696909860889,0.0244309484479163,0.88740479768099
additional,465,1,1,accepted,0.171215285708722,-0.0571544356699781,0.951549510764051
additional,465,2,1,accepted,0.171221887268825,-0.0571906921896415,0.951549415211992
additional,465,3,1,accepted,0.171223901858728,-0.0571667653459937,0.95154948844883
additional,495,1,1,accepted,0.0751254621018241,-0.173833447610687,0.891214128048285
additional,495,2,1,accepted,0.0751260289402831,-0.173844670432962,0.891214285657057
additional,495,3,1,accepted,0.0751274057026612,-0.173802961342955,0.891213614349489
additional,525,1,1,accepted,0.058318233254525,0.118010447200669,0.912351267996143
additional,525,2,1,accepted,0.0583149388584532,0.117969768221855,0.912351167162267
additional,525,3,1,accepted,0.0583196985721625,0.118028155109806,0.912351313484162
additional,555,1,1,accepted,0.045372998796875,-0.18370339558332,0.912875046017758
additional,555,2,1,accepted,0.04162958815378,-0.176224659419664,0.907954581919771
additional,555,3,1,accepted,0.0416261476955065,-0.176219067524715,0.907954567403544
additional,585,1,1,accepted,0.0560106150417098,0.36512526010519,0.904970853164508
additional,585,2,1,accepted,0.0560096601481414,0.365124102514147,0.904969188185016
additional,585,3,1,accepted,0.0560078963590221,0.365127066300223,0.904969314368153
additional,615,1,1,accepted,0.0969159026336698,0.453236027883586,0.946785421043952
additional,615,2,1,accepted,0.0969157134420974,0.453233987196498,0.94678542594966
