dataset,frame,start,accepted,reason,distance,yawdeg,similarity
additional,615,3,1,accepted,0.0969158260521058,0.453235194701296,0.946785422830701
additional,645,1,1,accepted,0.142931337062823,-0.281787414167594,0.91510716384504
additional,645,2,1,accepted,0.142932726347726,-0.281846531437729,0.915107720808821
additional,645,3,1,accepted,0.142931248445268,-0.281783571498041,0.915107127751406
additional,675,1,1,accepted,0.220700764651244,0.64085171213864,0.633307238963263
additional,675,2,1,accepted,0.220704118901333,0.640854315910111,0.633307231482987
additional,675,3,1,accepted,0.220696388633959,0.64082693443677,0.63330727849816
additional,705,1,1,accepted,0.0663551750978076,0.326526861616432,0.941237329060494
additional,705,2,1,accepted,0.0663533780827659,0.326512498813748,0.941237481549708
additional,705,3,1,accepted,0.0663526539197557,0.326509486234261,0.941237510822692
additional,735,1,1,accepted,0.119106191408986,-0.122951611111987,0.908955995793162
additional,735,2,1,accepted,0.119105163046207,-0.122952004597503,0.908956026058577
additional,735,3,1,accepted,0.119104222859083,-0.122952305835063,0.908956011610259
additional,765,1,1,accepted,0.140966581539956,0.151736502106036,0.886638306487385
additional,765,2,1,accepted,0.140960861225296,0.151733174717892,0.886637707094184
additional,765,3,1,accepted,0.140960326802535,0.151733718887924,0.886637684365498
additional,795,1,1,accepted,0.0705384265985025,-0.262551139475523,0.7970456461897
additional,795,2,1,accepted,0.070527879519034,-0.262592238534277,0.797041478325663
additional,795,3,1,accepted,0.0705287450270339,-0.262588818823969,0.797041832364177
additional,825,1,0,inconsistentClasses,0.625477949999719,-2.69161708983789,0.488058175132346
additional,825,2,1,accepted,0.591248549546286,-2.84075031500625,0.508816101511046
additional,825,3,1,accepted,0.591243832475385,-2.84077074687901,0.508817067011454
additional,885,1,1,accepted,1.20952522283605,0.16281447317516,0.962423221591182
additional,885,2,1,accepted,1.20952236232973,0.162828408712472,0.962423210936865
additional,885,3,1,accepted,1.20952500097346,0.16281562627072,0.962423221312216
additional,915,1,1,accepted,0.0371838515581486,-0.0729886924238457,0.926939804244382
additional,915,2,1,accepted,0.0371948044255479,-0.0730210612501243,0.926940971310555
additional,915,3,1,accepted,0.0371875798459269,-0.0730005833899591,0.92694021106646
additional,945,1,1,accepted,0.0466971040316145,-0.280422028708291,0.958259236333402
additional,945,2,1,accepted,0.0467023908929725,-0.280418644064711,0.958259416992339
additional,945,3,1,accepted,0.0467003968322156,-0.280420337464304,0.958259353205889
additional,975,1,1,accepted,0.046398541143462,0.150770662914369,0.944791743128607
additional,975,2,1,accepted,0.0463978499973336,0.150772095997498,0.944791797373578
additional,975,3,1,accepted,0.0464007003335174,0.150758638464679,0.944791519854187
additional,1005,1,1,accepted,0.129062212004876,0.115002867728859,0.940885348693807
additional,1005,2,1,accepted,0.129059896363967,0.11500967632243,0.940885260883269
additional,1005,3,1,accepted,0.129063845721723,0.115000995850599,0.940885376921185
additional,1035,1,1,accepted,0.205976819599264,0.444898720344234,0.947207466991413
additional,1035,2,1,accepted,0.205974003482234,0.444860434933449,0.947207415608244
additional,1035,3,1,accepted,0.205977834325829,0.444910488205347,0.947207527175884
additional,1065,1,1,accepted,0.0221400417781872,0.0101428766043145,0.649002990599677
additional,1065,2,1,accepted,0.0221396356963957,0.0101439853897446,0.64900298811673
additional,1065,3,1,accepted,0.022140366278344,0.0101418374683421,0.649002992619675
additional,1095,1,1,accepted,1.20519883531034,0.469969427842616,0.782344280869442
additional,1095,2,1,accepted,1.20519765593005,0.469963845777288,0.782344587370938
additional,1095,3,1,accepted,1.2051987233657,0.46996869343622,0.782344317519203
additional,1125,1,1,accepted,0.0760919103765006,0.488471664151945,0.900628361664156
additional,1125,2,1,accepted,0.0760905419582694,0.488456619794967,0.900629644876615
additional,1125,3,1,accepted,0.076089531070954,0.4884501933016,0.900629324634212
additional,1155,1,1,accepted,0.148481967759493,0.909115268147712,0.951809605447109
additional,1155,2,1,accepted,0.0804290351288438,0.46838532451447,0.945636637078717
additional,1155,3,1,accepted,0.148489482947431,0.909102196315423,0.951809513253538
