frame,start,accepted,reason,distance,yawdeg
28,1,True,accepted,0.08785582566805966,0.15259042450705865
28,2,True,accepted,0.05984377784284904,-0.1029052586747714
28,3,True,accepted,0.05984160796352942,-0.10289002775817278
214,1,True,accepted,0.027330045592718427,0.22266243249848264
214,2,True,accepted,0.02733032937081837,0.2226499307448153
214,3,True,accepted,0.027329762007435438,0.22265077510796358
458,1,True,accepted,0.06689629687419273,0.231918310751833
458,2,True,accepted,0.22589049807329248,0.524107152418731
458,3,True,accepted,0.006976750041525216,0.04575748664279253
600,1,True,accepted,0.15989265568142436,0.537467233991781
600,2,True,accepted,0.13543241389235058,0.40263100952143255
600,3,True,accepted,0.13543080680353806,0.40263433339111915
855,1,False,inconsistentClasses,0.8646122935568553,1.8634188513899725
855,2,True,accepted,0.13121477490278188,-0.12470130839260062
855,3,True,accepted,0.13121142862602464,-0.12469302201637168
943,1,True,accepted,0.104301786245201,0.4507232719746084
943,2,True,accepted,0.05378393998386062,-0.06449546675848618
943,3,True,accepted,0.053796420372441714,-0.06442395600241832
1137,1,True,accepted,0.23531510579988701,0.5733003617212916
1137,2,True,accepted,0.1785959515668819,-0.10871617245425992
1137,3,True,accepted,0.16407177666933867,0.07172414777852207
