variant,frame,start,accepted,reason,distance,yawdeg
original,28,1,1,accepted,0.0881829952228288,0.122787289111016
original,28,2,1,accepted,0.0582867102111881,-0.0828137498062484
original,28,3,1,accepted,0.058277830419372,-0.0827659919443836
original,214,1,1,accepted,0.0270545326071252,0.221478635787834
original,214,2,1,accepted,0.0270547604657453,0.221479338999136
original,214,3,1,accepted,0.0270538697655558,0.221474525888903
original,458,1,1,accepted,0.0669777340151365,0.233163077991793
original,458,2,1,accepted,0.225912110805652,0.524508863139928
original,458,3,1,accepted,0.00724255677464129,0.0464922720371736
original,600,1,1,accepted,0.116992415277174,0.723928293860216
original,600,2,1,accepted,0.116984261912262,0.723896918648824
original,600,3,1,accepted,0.116983452370888,0.723890962687206
original,855,1,0,inconsistentClasses,0.865163139506111,1.87002047457034
original,855,2,1,accepted,0.134746545021377,-0.113663703367135
original,855,3,1,accepted,0.134740226917607,-0.113643466309169
original,943,1,1,accepted,0.102487601601371,0.356518402855426
original,943,2,1,accepted,0.0701132685876852,0.027538797953023
original,943,3,1,accepted,0.0701058036004208,0.0274980300757615
original,1137,1,1,accepted,0.242195223950665,0.641553260164459
original,1137,2,1,accepted,0.176238354436741,0.0159607373769306
original,1137,3,1,accepted,0.176238352975711,0.0159607530797441
withinBlockNormal,28,1,1,accepted,0.0877803314370684,0.12638810927336
withinBlockNormal,28,2,1,accepted,0.0583993647863723,-0.0851046920875525
withinBlockNormal,28,3,1,accepted,0.05839725363939,-0.0850907632564538
withinBlockNormal,214,1,1,accepted,0.0274405258840651,0.221595747516857
withinBlockNormal,214,2,1,accepted,0.0274399119395516,0.221591407248748
withinBlockNormal,214,3,1,accepted,0.027439184668384,0.221586398631397
withinBlockNormal,458,1,1,accepted,0.0669692267588193,0.233625066646456
withinBlockNormal,458,2,1,accepted,0.225794560003607,0.525742738892521
withinBlockNormal,458,3,1,accepted,0.00720470345782217,0.0469450564805862
withinBlockNormal,600,1,1,accepted,0.116718010155413,0.723482155027597
withinBlockNormal,600,2,1,accepted,0.116709354079704,0.723448504750976
withinBlockNormal,600,3,1,accepted,0.116708611403639,0.723442863359307
withinBlockNormal,855,1,0,inconsistentClasses,0.865121050890506,1.86926894692832
withinBlockNormal,855,2,1,accepted,0.134857425599611,-0.113683149669324
withinBlockNormal,855,3,1,accepted,0.134851081479871,-0.113662806686629
withinBlockNormal,943,1,1,accepted,0.102818044664269,0.361470505133054
withinBlockNormal,943,2,1,accepted,0.0674713375277247,0.0309142656331013
withinBlockNormal,943,3,1,accepted,0.0674643726231525,0.0308749455318845
withinBlockNormal,1137,1,1,accepted,0.242501231216142,0.63871389188252
withinBlockNormal,1137,2,1,accepted,0.175623016602526,0.0319972211649
withinBlockNormal,1137,3,1,accepted,0.175623014580657,0.0319972505719205
withinBlockCovariance,28,1,1,accepted,0.0874270162017893,0.126572926189456
withinBlockCovariance,28,2,1,accepted,0.0576368682897534,-0.083870011695337
withinBlockCovariance,28,3,1,accepted,0.0576349538025877,-0.0838585882145137
withinBlockCovariance,214,1,1,accepted,0.0345984212993133,0.223267773650236
withinBlockCovariance,214,2,1,accepted,0.0346055371480048,0.223263390592153
withinBlockCovariance,214,3,1,accepted,0.0346034364681014,0.22326233297775
withinBlockCovariance,458,1,1,accepted,0.0695388420148711,0.223196868125902
withinBlockCovariance,458,2,1,accepted,0.232582008988597,0.421744318523251
withinBlockCovariance,458,3,1,accepted,0.0112345563015697,0.0629352356297383
withinBlockCovariance,600,1,1,accepted,0.125184969313912,0.676261372388586
withinBlockCovariance,600,2,1,accepted,0.125185928293197,0.67624601916391
withinBlockCovariance,600,3,1,accepted,0.125185478422244,0.676248442640347
withinBlockCovariance,855,1,0,inconsistentClasses,0.869607148407433,1.96099748202301
withinBlockCovariance,855,2,1,accepted,0.129655336243544,-0.106383248225209
withinBlockCovariance,855,3,1,accepted,0.12965073769349,-0.106356820745702
withinBlockCovariance,943,1,1,accepted,0.100960249189545,0.346138300396338
withinBlockCovariance,943,2,1,accepted,0.0656911916723612,0.0337999164459085
withinBlockCovariance,943,3,1,accepted,0.0656928110372827,0.0338106332839748
withinBlockCovariance,1137,1,1,accepted,0.245010094711474,0.628235419554366
withinBlockCovariance,1137,2,1,accepted,0.177324524241359,0.00953694825000808
withinBlockCovariance,1137,3,1,accepted,0.177324515124906,0.00953705450920874
