frame,start,accepted,reason,distance,yawdeg
15,1,True,accepted,0.09565089584157421,0.09731143209188714
15,2,True,accepted,0.032034621898193075,-0.0495855235860003
15,3,True,accepted,0.032029333636818695,-0.04956253308978842
45,1,True,accepted,0.04199253398208728,0.14375529818621674
45,2,True,accepted,0.04199211293814257,0.1437367842850968
45,3,True,accepted,0.04199213132959907,0.1437367320486336
75,1,True,accepted,0.07246620179599561,-0.21380952918563423
75,2,True,accepted,0.8952222728780235,-1.4288436181408968
75,3,True,accepted,0.07246429303144135,-0.21380302334820928
105,1,True,accepted,0.556679120833147,0.4659970775580242
105,2,True,accepted,0.06358014474569938,-0.5197908354628646
105,3,True,accepted,0.0635797932681724,-0.519745911273472
135,1,False,inconsistentClasses,0.604185058037834,4.27631420952337
135,2,True,accepted,0.12810771050483355,0.4094734861345673
135,3,True,accepted,0.1281075990773795,0.4094728932710452
165,1,False,inconsistentClasses,0.17347839445081262,-0.34144287811382695
165,2,True,accepted,0.2590397861981055,-0.7631494109333896
165,3,True,accepted,0.11589642671138693,0.453990035172773
195,1,True,accepted,0.1129950861578658,-0.39669275669142484
195,2,True,accepted,0.41361902439514564,1.499111431451611
195,3,True,accepted,0.11298400553990136,-0.39659858566500733
225,1,True,accepted,0.029319171889928167,0.03911091645145314
225,2,True,accepted,0.02931776692754555,0.03910617731314946
225,3,True,accepted,0.029316546100124487,0.039102010258493775
255,1,True,accepted,0.10284695775918683,0.0670919589405004
255,2,True,accepted,0.10284761958309224,0.06709477914558813
255,3,True,accepted,0.10284093333938912,0.06707114645485306
285,1,False,inconsistentClasses,0.30654478451676603,-1.1858976609297456
285,2,True,accepted,0.5531805984075862,1.7798249234194303
285,3,False,acceptedDirectional,0.055415244262347806,-0.09466174284043032
315,1,True,accepted,0.11307339787366152,0.48507149315773435
315,2,True,accepted,0.009417687793715289,-0.0574709887303623
315,3,True,accepted,0.010596518119046976,-0.05467862538537635
345,1,True,accepted,0.03452820277272823,0.17833448502258342
345,2,True,accepted,0.03452118782679077,0.17833034568287412
345,3,True,accepted,0.03452116907270598,0.17833172837972328
375,1,True,accepted,0.166104694564222,-0.09542969473502026
375,2,True,accepted,0.1661021407696702,-0.09546897361106882
375,3,True,accepted,0.16610260279330144,-0.09545852573068782
405,1,True,accepted,0.06951903038609203,0.23937399605363477
405,2,True,accepted,0.29190161150587174,0.2990307162123798
405,3,True,accepted,0.06951657810864002,0.23935662996057908
435,1,True,accepted,0.041322911654787714,0.01715810531870742
435,2,True,accepted,0.04133137162732182,0.017089195873253707
435,3,True,accepted,0.04132963993037818,0.01710398499819936
465,1,True,accepted,0.16156889772924876,0.07752804321217775
465,2,True,accepted,0.16156756523275692,0.07752178895013978
465,3,True,accepted,0.1615658816686615,0.07751743831153972
495,1,True,accepted,0.07606742993631214,0.31604363962550797
495,2,True,accepted,0.01752630414467642,-0.034896259447762416
495,3,True,accepted,0.01752702918005336,-0.03488052831129643
525,1,True,accepted,0.09059298122845871,0.2740348138460496
525,2,True,accepted,0.16259416437165025,0.16435006683620376
525,3,True,accepted,0.09059453505385942,0.27405186279618915
555,1,True,accepted,0.12388108704746187,0.8054870093115499
555,2,True,accepted,0.2523516006849368,0.110650990278492
555,3,True,accepted,0.0453076929795003,-0.18373998123925003
585,1,True,accepted,0.05787190144750689,0.3651466276778048
585,2,True,accepted,0.06283074457507273,0.2574057520184938
585,3,True,accepted,0.06283089000229591,0.2574085037934642
615,1,True,accepted,0.04630640935452823,0.02632310710313138
615,2,True,accepted,0.04630527759936329,0.026310046203943546
615,3,True,accepted,0.04630586127901959,0.026323012969386748
645,1,True,accepted,0.0814966149110013,0.38828982122853556
645,2,True,accepted,0.14312468002745357,-0.28750745369831093
645,3,True,accepted,0.08149566598445858,0.388248880242306
675,1,True,accepted,0.22997834142373835,0.6612890572098761
675,2,True,accepted,0.22998160133235976,0.6613003705496302
675,3,True,accepted,0.22996722810704048,0.6612496303214739
705,1,True,accepted,0.09026601429008438,0.6504564728930701
705,2,True,accepted,0.06679711889603153,0.3349546073197674
705,3,True,accepted,0.06678170218160792,0.3349524930118201
735,1,True,accepted,0.11833397542155469,-0.12289527813136675
735,2,True,accepted,0.1183339942994918,-0.12289568150216089
735,3,True,accepted,0.11832609389473679,-0.12289406295486699
765,1,True,accepted,0.0543668532969836,-0.14175480590266548
765,2,True,accepted,0.05437660062435893,-0.14179995878882456
765,3,True,accepted,0.05437431560315427,-0.14178936410653273
795,1,True,accepted,0.06112672136210398,-0.4711917908483675
795,2,True,accepted,0.6035703296209182,-0.8844856350531679
795,3,True,accepted,0.06112671228943229,-0.47119183768942674
825,1,False,inconsistentClasses,0.6383056206073885,-1.7986773363316477
825,2,False,inconsistentClasses,0.646899656206952,-1.8698579184603705
825,3,False,inconsistentClasses,0.6383100625089505,-1.7986876806643575
885,1,True,accepted,0.07353910330397641,-0.19069281658723844
885,2,True,accepted,0.07353511331510579,-0.19068175229261203
885,3,True,accepted,0.0735326635219502,-0.19067498137727723
915,1,True,accepted,0.020014716168518843,0.13116512551157605
915,2,True,accepted,0.08673733107867665,-0.31898415219817566
915,3,True,accepted,0.02001965305847391,0.13114635866019725
945,1,True,accepted,0.07563063270418766,0.3241366598300207
945,2,True,accepted,0.041717071641466534,-0.287423169330371
945,3,True,accepted,0.041716900601779724,-0.28742293342816344
975,1,True,accepted,0.053706938236748505,0.2655238613395577
975,2,True,accepted,0.05370461008458634,0.26552883270032374
975,3,True,accepted,0.053704216633428385,0.265519417298607
1005,1,True,accepted,0.1741498909214754,0.7555152531923937
1005,2,True,accepted,0.25679319648342347,-0.5908064201997648
1005,3,True,accepted,0.08425710773970053,-0.08964766857112999
1035,1,True,accepted,0.19377761467027796,0.26910674114210187
1035,2,True,accepted,0.7209460870702173,0.21717785944665277
1035,3,True,accepted,0.19377862001392337,0.26911889853187554
1065,1,False,inconsistentClasses,0.29625465321734945,2.013152390565473
1065,2,True,accepted,0.07030192344456378,-0.18570868281865896
1065,3,True,accepted,0.07030120141215195,-0.18571117697231318
1095,1,True,accepted,0.13616796212210272,0.21716311070945757
1095,2,True,accepted,1.2292173877164514,0.3756943730707611
1095,3,True,accepted,0.12390483887827386,0.22325618193147445
1125,1,True,accepted,0.11314034490138915,0.1939837600666744
1125,2,True,accepted,0.07809908596190072,0.4910955064751729
1125,3,True,accepted,0.07809672419465259,0.4910767100035803
1155,1,True,accepted,0.08915182330535475,0.4544822739803515
1155,2,True,accepted,0.08913940815876542,0.45448172948049814
1155,3,True,accepted,0.08914439148078881,0.454474505276872
