sampleTimeSeconds,status,rmsePost6Mps,peakAllMps,message
0.005,completed,0.00102630267248356,0.5,
0.01,completed,0.00102758699102523,0.5,
0.02,completed,0.00103282083616736,0.5,
0.05,completed,0.00107448585241401,0.5,
0.1,completed,0.00129200407083587,0.5,
0.2,completed,0.00305099435146572,0.738763881872011,
