drive,population,samples,rmseMps,biasMps,demeanedRmseMps,p95Mps,maximumMps,betaRmseDeg,zeroVyBaselineRmseMps,observerPointRmseMps,meanDynamicParticipation,runtimeSeconds,microsecondsPerSample
12-11-24,all,7693,0.0551730665503808,-0.0131090077144567,0.0535931076661455,0.108728861407962,0.16592678774871,0.280334471630765,0.109811791477349,0.193085511813154,0.877321425335682,1.047995,136.227089561939
12-11-24,moving_gt1,7693,0.0551730665503808,-0.0131090077144567,0.0535931076661455,0.108728861407962,0.16592678774871,0.280334471630765,0.109811791477349,0.193085511813154,0.877321425335682,1.047995,136.227089561939
12-11-24,straight_ge5,2484,0.0287419195190882,-0.00142626897629544,0.0287065096180117,0.0555177985616464,0.0905646022614963,0.155589622173115,0.0480211519890571,0.0502605025232227,1,1.047995,136.227089561939
12-11-24,turning_ge5,4292,0.0638389109851688,-0.0187196249177063,0.0610326322446665,0.116718201229211,0.157733477054228,0.33235598917916,0.113614017624717,0.163969760507583,0.993763682457456,1.047995,136.227089561939
12-11-24,after40,3692,0.0558172613664315,-0.0349488282101102,0.0435217884879371,0.0963966159649211,0.151816034534323,0.283947716990863,0.0817692665159162,0.09659930096084,1,1.047995,136.227089561939
12-09-31,all,11592,0.250169340314387,-0.227805018982514,0.103390387172658,0.38565916540465,0.499159540490258,1.24875817922386,0.251647789418833,0.271987750475298,0.920523816136024,1.562536,134.794340924776
12-09-31,moving_gt1,11403,0.252227737834107,-0.231777991459521,0.0994876595759548,0.387063448053629,0.499159540490258,1.24875817922386,0.253723802624887,0.274215817431145,0.935781116955958,1.562536,134.794340924776
12-09-31,straight_ge5,6242,0.274262018517634,-0.262496239701454,0.0794693585224109,0.379371012025691,0.484473838734797,1.25643433672798,0.280170019316737,0.275413606294491,1,1.562536,134.794340924776
12-09-31,turning_ge5,4490,0.236418572440268,-0.214742250583651,0.0988913909749618,0.441889715269722,0.499159540490258,1.23773398879782,0.23175747151358,0.277349152356731,0.986350128429574,1.562536,134.794340924776
12-09-31,after40,7591,0.2313201073584,-0.219971033212137,0.0715663092235921,0.312418375427568,0.351129437511076,1.17705454339119,0.225317332817412,0.240661270952209,1,1.562536,134.794340924776
