profile,gridPoints,minimumP,maxPsiEigenvalue,positivePsiPoints,maxNoiseBlockEigenvalue,positiveNoisePoints,maxFrozenEigenvalue,decayRate,issGain
reference,3003,0.846888030598502,-0.0328789452605583,0,4.81981096650295e-15,0,-4.54304559632758,2,6.75463275635241
mncav,3003,0.535310029340923,-0.0431570113279811,0,7.97161863200588e-15,0,-4.54601108354244,2,6.69881787728967
