variant,frames,fullPoses,directionalPoses,noMeasurement,allFrameTrajectoryRmseM,emittedFullPoseRmseM,emittedAnyPoseRmseM,commonFullPoseFrames,commonFullPoseRmseM,medianM,p95M,maximumM,maximumFrame,frame959M,frame959Status,totalMedianMs,totalP95Ms
concatenated_baseline,1170,1170,0,0,0.15172527882625408,0.15172527882625408,0.15172527882625408,1167,0.150475602735545,0.09546888887309395,0.28824378571924797,0.692822051536685,959,0.692822051536685,accepted,71.3315,86.72919999999999
confirmed_three_frames,1170,1167,2,1,0.159610178917513,0.15854223884195798,0.15857639981003435,1167,0.15854223884195798,0.100451367707841,0.30536305099993555,0.669504440641261,849,0.194903517120043,acceptedDirectional,63.132000000000005,72.08745
confirmed_five_frames,1170,1169,0,1,0.17285627160774072,0.17191312695027444,0.17191312695027444,1167,0.17136895715750475,0.11042314031363701,0.36082461787249626,0.68281122157378,847,0.357553729188549,accepted,61.5995,70.1044
