frame,identity_baseline,selected_sequence_fit,independent_drive_fit
1,0.0934419171774505,0.0948144137790457,0.134658920385821
2,0.0964611078545259,0.0926635091243658,0.13649705777668
3,0.0888903514727944,0.0923975539515549,0.13659216887274
4,0.0868402912361387,0.0966375292608072,0.144316141092274
5,0.0762247921187257,0.105562377630778,0.152370662347234
6,0.0786726228841706,0.109782516894018,0.157880513376127
7,0.0915978166271244,0.108105756474043,0.147266435034833
8,0.0988196488014321,0.0916709581086924,0.141650325281682
9,0.0992519649311769,0.0907737032756847,0.141880681358315
10,0.0877760396928471,0.0839381411020856,0.139175079984052
11,0.0871465118920562,0.0534029916249745,0.13293952117815
12,0.0960671912663012,0.036606018387276,0.113156756324056
13,0.0961826903287168,0.0304735538123463,0.0994785930866075
14,0.085126437696949,0.0407186295139741,0.0964635885983442
15,0.0662332618216788,0.0381332690336615,0.101901843188721
16,0.0622610669693573,0.029494827042322,0.107034613300444
17,0.0661505591883512,0.0209581156199886,0.104717126845525
18,0.0621795082307165,0.016954598526312,0.1036681937493
19,0.0649824460293903,0.0179818433673732,0.0926218194277584
20,0.0662115824537152,0.0145040602343695,0.0864435604406076
21,0.0658182615424602,0.0195356280850369,0.0866129292447997
22,0.0586511465367044,0.0261388423288089,0.0952907336699904
23,0.0682071925873544,0.0171789687748133,0.0889454856684921
24,0.0743205701228396,0.0147840986518828,0.0761481110760091
25,0.085591554634532,0.0164368602889936,0.0661583129550409
26,0.0745239390616189,0.02019245262455,0.0745187867816519
27,0.0652742684218607,0.0258034253284788,0.0802368286706151
28,0.064188555329066,0.0195037327270949,0.0720293338652874
29,0.044879151375366,0.041170138828216,0.0699630531419606
30,0.0202651834988882,0.0456061110434382,0.0550765578776413
31,0.0218976665130554,0.0576657725238933,0.0868390347795097
32,0.0279809645609054,0.0513132690171338,0.08677695638619
33,0.0384550983977699,0.0624134329447088,0.0916328959062062
34,0.0410487352584449,0.0603032383865917,0.0893621869770235
35,0.061540403222902,0.0608614673326066,0.0846644617330537
36,0.0662126653407502,0.0482467534923719,0.0875978129800989
37,0.0674320190075843,0.0478375320653181,0.090176326467297
38,0.0542901376458105,0.0455452421465901,0.0914435374575979
39,0.0446805696087197,0.0502815227018817,0.0836685710128618
40,0.0326700503000764,0.0469944560532599,0.0664721299738515
41,0.04262151113174,0.0409738346011971,0.0460157368174654
42,0.0499195329450038,0.064959278328374,0.0600514488555989
43,0.0515369441959815,0.0477936070409577,0.0557605504002879
44,0.0510392150084365,0.0533118806778992,0.0678620229364804
45,0.0562523807120612,0.0391472059141453,0.0704859556678507
46,0.048728430004646,0.0571424507204216,0.113571724146914
47,0.0367164316324136,0.0561399298244417,0.0930953768314921
48,0.0485061181033389,0.0496972195986757,0.0967109955935558
49,0.0816971160402229,0.0479576945465072,0.086885330230443
50,0.118973429153104,0.026061440131598,0.0778060011964373
51,0.131119821417432,0.0228760646552943,0.068062825263702
52,0.107808633306473,0.0300861235330286,0.0752429423090574
53,0.0905232569859891,0.0496661736763229,0.0953231702295912
54,0.100102044409946,0.0571842766954294,0.0999373988530574
55,0.1123576217088,0.0672311343267262,0.0975910707594385
56,0.128353217197549,0.074495456874593,0.119373610106031
57,0.114478768211851,0.0644508310262704,0.16720104014143
58,0.115026876116725,0.0451064083082548,0.142965192107184
59,0.126812921724815,0.0356248827458081,0.134179286045861
60,0.141241724632087,0.0307715842392816,0.100634472705819
61,0.1424465984572,0.0364136900310933,0.0814778722298236
62,0.123684944184366,0.0370417277497646,0.0844803900339506
63,0.125273916405615,0.0375166541811299,0.111845149727983
64,0.159751584807406,0.0290284270571125,0.0768970326326177
65,0.15343387728953,0.0285572978070134,0.0622013651825506
