experiment,folder,frames,accepted,rawRmseM,rawAcceptedRmseM,rawP95M,rawMaximumM,rawPeakFrame,rawFrame94M,fusedSamples,fusedRmseM,fusedP95M,fusedMaximumM,finePerceptionUsed
identity_baseline,output/receiver_clock_20260921/coarse_pipeline,1170,1170,0.1803721390755308,0.1803721390755308,0.40614577498395105,0.9279906547145556,94,0.927990654714556,1169,0.0876837828203157,0.168976151681044,0.375664873236837,False
selected_sequence_fit,output/lidar_origin_20260922/coarse_pipeline,1170,1170,0.15172527882625406,0.15172527882625406,0.28824378571924764,0.6928220515366847,959,0.139881116114151,1169,0.0851841976658304,0.172571605575333,0.316256070143538,False
independent_drive_fit,output/lidar_origin_20260922/independent_pipeline,1170,1169,0.17155038565071007,0.17161599587461182,0.3352702078796218,0.8632943011654207,959,0.43388714372622,1169,0.0876386044449998,0.160447896588764,0.264153216348651,False
