timeSeconds,identityBaselineM,selectedSequenceFitM,independentDriveFitM
0,0.0934419171774505,0.0948144137790457,0.134658920385821
0.0998559667310051,0.0822172812251074,0.0871159477397492,0.111325122727697
0.200121057709047,0.0739024560780735,0.0810062773006187,0.0963957477978192
0.299872987759305,0.067583721274245,0.0764872102641819,0.0875998368911981
0.39948784948268,0.0622742755488921,0.0736211034374569,0.0821890687042953
0.499382309785561,0.058481355573478,0.0716778371571049,0.0788290818022888
0.599357398516022,0.0567417109559268,0.0704147035263355,0.0763110100285153
0.699386846412172,0.0550406366479401,0.0673681053613901,0.0739864841287323
0.799663381425096,0.0530712178885088,0.064634364797264,0.0717844115385475
0.900221075567739,0.0494207593341981,0.0608694920273368,0.0682540702862015
1.00122898844631,0.0444853719900948,0.0517666485499504,0.0632142523025507
1.09968202053745,0.039582930999068,0.0420720964773573,0.0565273253161269
1.19983423171688,0.0341945502879537,0.0322676479747998,0.0485571286812862
1.30036955797316,0.0291675398868706,0.0246699219692806,0.0419002704096262
1.40021434076099,0.0253342827906761,0.020050325185368,0.0374836865961946
1.50082093214358,0.0228342104460597,0.0182708538730443,0.0362601911851046
1.59970233526769,0.0219260771590706,0.0174978013465073,0.0356953392226119
1.69951356622597,0.0216010255894057,0.0178613782180794,0.0358809544345179
1.79962520309991,0.0220649967988162,0.0187016734395927,0.0353084199898132
1.89961953861631,0.0227200910363436,0.0191085423217666,0.0352951535250766
1.99971192870431,0.0226824617868309,0.0193267375508525,0.0345371745844301
2.09959052341338,0.0228579191728593,0.0200352596469986,0.0351762596850992
2.20015810104069,0.0228872171040811,0.0203029676801867,0.0341527960430706
2.30030302965247,0.0229092453921403,0.020696231474291,0.0356549136560224
2.39968927076991,0.0227996306835985,0.0196278404185009,0.036156070358725
2.50014813006584,0.0229800152155011,0.0197973519780128,0.0387132173824731
2.59939028038044,0.0219591155640534,0.0183394368212803,0.0389548532753241
2.69970764979056,0.0229250250328581,0.0177238305403087,0.0376760473493711
2.80056496957375,0.0205683308668672,0.018881527743743,0.0370790696397346
2.9001767101967,0.0198307266626574,0.023991483908339,0.0392310992684891
3.00015361956907,0.0214473769677989,0.0275095471466733,0.0386105245407221
3.09918665615537,0.0226865607571638,0.030170068208558,0.0395692007433658
3.19946891318574,0.022010972621527,0.0330139959668044,0.0413308410116609
3.29970045233424,0.0209279009815293,0.0340999415799139,0.0416215007079482
3.39939100074286,0.0192203622866088,0.0345799640963492,0.0404120250183492
3.49943137249049,0.0176907871003282,0.0348827080091216,0.0404447629912287
3.60100134353679,0.0167386592718136,0.0341502918788244,0.0392070668564129
3.69993060353405,0.0173903963359609,0.0340611367802827,0.0403329979893553
3.8000713706786,0.0187864611000505,0.0326918420475959,0.0391727552017391
3.89960404342418,0.0217229588458894,0.0321542188037934,0.0394569248268462
4.00033287790665,0.0234688635625291,0.0301141076716446,0.0389669846749119
4.10035244231813,0.0254540598144025,0.0323456912524365,0.0407357725680011
4.20032284939796,0.0260702442441195,0.0315782315732579,0.0422202588623117
4.30057831698303,0.027810804402083,0.0336309105844804,0.0434229294548602
4.39962409806272,0.0301241609304643,0.0342875685716211,0.0427763148616473
4.49971830879264,0.0323050531583481,0.0358192437348063,0.0446787856283418
4.59934903610982,0.0343703839616079,0.0362834464474478,0.0455766978760909
4.69972882752839,0.0365769597015627,0.0362811105395845,0.0462045405904672
4.80060955556475,0.0396436783468114,0.0367473815419922,0.0453697281402604
4.90102601991328,0.043195607196463,0.0367465651152574,0.0452368872358549
4.99962886482469,0.0448176889822194,0.0369905612207908,0.045024172041823
5.09975610720074,0.0446966242198051,0.0372446533442354,0.0455562295304005
5.19959360742091,0.0441921060642415,0.0386324919378257,0.0437539582506241
5.29954944936544,0.0458571407716494,0.0400593804984591,0.0427999055346459
